,id_nombre,nombre,id_ciudad,ciudad,categories,analisis_sentimientos,puntuacion_usuarios,anio,Good_Punctuation
122,3b23,Limey's Pub,9EV3,San Petersburgo,"Bars, Pubs, British, Nightlife, Restaurants",1.0,3.5,2008,False
123,3b45,Five Guys Burgers and Fries,9EV3,San Petersburgo,"Restaurants, Burgers, Fast Food",1.0,4.0,2008,True
133,44b0,St Pete Diner,9EV3,San Petersburgo,"Seafood, Diners, Restaurants",1.0,4.0,2008,True
149,4bde,Mazzaro's Italian Market,9EV3,San Petersburgo,"Specialty Food, Delis, Coffee Roasteries, Butcher, Meat Shops, Food, Restaurants, Grocery, Italian",1.0,5.0,2008,True
151,4c77,St Petersburg Pier,9EV3,San Petersburgo,"Local Flavor, Active Life, Tours, Hotels & Travel, American (Traditional), Arts & Crafts, Shopping, Restaurants, Arts & Entertainment, Aquariums",1.0,2.2,2008,False
164,5191,Gratzzi Italian Grille,9EV3,San Petersburgo,"Restaurants, Italian",1.0,4.0,2008,True
188,5a2b,PoFolks,9EV3,San Petersburgo,"American (Traditional), Restaurants, American (New), Southern",1.0,4.0,2008,True
190,5b80,Savannah's Cafe,9EV3,San Petersburgo,"Restaurants, Southern",1.0,2.3,2008,False
193,5c52,Thai Wok,9EV3,San Petersburgo,"Thai, Restaurants",1.0,3.5,2008,False
194,5ced,Tiparos Thai Restaurant,9EV3,San Petersburgo,"Thai, Restaurants",1.0,4.0,2008,True
197,5ebd,Taco Bell,9EV3,San Petersburgo,"Restaurants, Breakfast & Brunch, Fast Food, Tex-Mex, Tacos, Mexican",1.0,4.0,2008,True
204,61ba,Doe Doe's Diner,9EV3,San Petersburgo,"Coffee & Tea, Breakfast & Brunch, Restaurants, Food",1.0,4.0,2008,True
205,6252,Parkshore Grill,9EV3,San Petersburgo,"Caterers, American (New), Food, Seafood, American (Traditional), Restaurants, Event Planning & Services, Steakhouses",1.0,3.2,2008,False
207,6480,Sushi Zen,9EV3,San Petersburgo,"Sushi Bars, Korean, Restaurants",1.0,3.0,2008,False
212,66e0,The Melting Pot,9EV3,San Petersburgo,"American (New), Fondue, Gluten-Free, Restaurants, Salad",1.0,4.3,2008,True
224,6c1b,Athenian Garden,9EV3,San Petersburgo,"Greek, Restaurants",1.0,4.0,2008,True
231,713a,Cali - Saint Petersburg,9EV3,San Petersburgo,"Restaurants, Wraps, Juice Bars & Smoothies, Food, American (New), Mediterranean, Breakfast & Brunch, Gluten-Free, Pizza",1.0,5.0,2008,True
232,71b5,Ichiban Japanese Restaurant & Sushi Bar,9EV3,San Petersburgo,"Sushi Bars, Japanese, Restaurants, Thai",0.5,1.0,2008,False
244,79f9,Leafy Greens Cafe,9EV3,San Petersburgo,"Soup, Gluten-Free, Breakfast & Brunch, Vegetarian, Vegan, Restaurants",1.0,1.0,2008,False
253,7e69,China Wok,9EV3,San Petersburgo,"Restaurants, Chinese",1.0,4.0,2008,True
257,7fcb,Shep's Food Mart,9EV3,San Petersburgo,"Grocery, Delis, Food, Beer, Wine & Spirits, Restaurants",1.0,5.0,2008,True
258,8273,Pacific Wave,9EV3,San Petersburgo,Restaurants,1.0,4.0,2008,True
260,8299,Ai Mei Thai Restaurant,9EV3,San Petersburgo,"Thai, Restaurants",1.0,3.0,2008,False
277,8803,Crab Shack Restaurant,9EV3,San Petersburgo,"Seafood, Restaurants",1.0,2.7,2008,False
295,8fb5,Cha Cha Coconuts Tropical Bar & Grill,9EV3,San Petersburgo,"Restaurants, Caribbean",1.0,2.5,2008,False
296,900b,India Grill,9EV3,San Petersburgo,"Pakistani, Restaurants, Indian",1.0,3.5,2008,False
304,959e,Red Lobster,9EV3,San Petersburgo,"Restaurants, American (Traditional), Seafood",1.0,3.0,2008,False
310,989d,Hooks Sushi Bar & Thai Food,9EV3,San Petersburgo,"Chinese, Japanese, Sushi Bars, Restaurants, Thai",1.0,3.0,2008,False
311,98dc,Pincho Y Pincho,9EV3,San Petersburgo,"Spanish, Basque, Restaurants, Tapas Bars",1.0,4.0,2008,True
316,99e3,Schakolad Chocolate Factory,9EV3,San Petersburgo,"Food, Coffee & Tea, Specialty Food, Chocolatiers & Shops, Restaurants, Desserts",1.0,4.0,2008,True
323,9e00,Panchero's Mexican Grill,9EV3,San Petersburgo,"Restaurants, Mexican",1.0,2.5,2008,False
374,be49,Babalu,9EV3,San Petersburgo,"Nightlife, Burgers, Bars, American (Traditional), Restaurants",1.0,4.0,2008,True
376,bf95,Side Door Deli,9EV3,San Petersburgo,"Delis, Restaurants",1.0,3.0,2008,False
377,c028,Cafe Bohemia,9EV3,San Petersburgo,"Coffee & Tea, Art Galleries, Arts & Entertainment, Restaurants, Shopping, Beer, Wine & Spirits, Food",1.0,5.0,2008,True
386,c5f0,The King & I Restaurant,9EV3,San Petersburgo,"Restaurants, Thai",1.0,4.3,2008,True
389,c693,Primi Urban Cafe,9EV3,San Petersburgo,"Italian, Nightlife, Restaurants, Piano Bars",1.0,4.0,2008,True
392,c72c,Cafe Vienna,9EV3,San Petersburgo,"Breakfast & Brunch, German, Austrian, Restaurants",1.0,3.0,2008,False
395,c820,Joey Brooklyn's Famous Pizza Kitchen,9EV3,San Petersburgo,"Sandwiches, Pizza, Restaurants, Salad",1.0,5.0,2008,True
402,cb0f,Hoppy's Corned Beef Corner,9EV3,San Petersburgo,"Breakfast & Brunch, American (Traditional), Delis, Soup, Restaurants",1.0,5.0,2008,True
404,cc4e,Fred Fleming's Famous Bar-B-Que,9EV3,San Petersburgo,"Restaurants, Barbeque",1.0,4.0,2008,True
405,ccc6,Burrito Boarder,9EV3,San Petersburgo,"Food, Restaurants, Specialty Food, Mexican",0.5,1.0,2008,False
418,d639,Biff Burger & Buffy's BBQ,9EV3,San Petersburgo,"Burgers, Restaurants, Nightlife, Barbeque, Bars",1.0,4.0,2008,True
434,dc36,Art of Sushi,9EV3,San Petersburgo,"Restaurants, Sushi Bars, Asian Fusion, Japanese, Steakhouses",1.0,4.0,2008,True
450,e4d4,Hardee's,9EV3,San Petersburgo,"Restaurants, Fast Food, American (Traditional), Burgers",1.0,3.0,2008,False
466,eb48,O' Bistro,9EV3,San Petersburgo,"American (New), Restaurants",1.0,3.0,2008,False
474,f155,Museum of Fine Arts,9EV3,San Petersburgo,"Art Museums, Arts & Entertainment, Museums, Restaurants",1.0,5.0,2008,True
503,feb0,Garden Restaurant,9EV3,San Petersburgo,"Food Delivery Services, Jazz & Blues, Food, American (Traditional), Arts & Entertainment, Mediterranean, Restaurants, Nightlife",0.5,1.0,2008,False
187,03ff,The Moon Under Water,9EV3,San Petersburgo,"Nightlife, British, Pubs, Bars, Indian, Restaurants",1.0,4.5,2006,True
188,08c4,Kinjo's Japanese Restaurant,9EV3,San Petersburgo,"Japanese, Sushi Bars, Restaurants",1.0,5.0,2006,True
189,19cd,Fresco's Waterfront Bistro,9EV3,San Petersburgo,"Nightlife, Restaurants, Seafood, Bistros, American (Traditional), Bars",1.0,4.0,2006,True
190,4c77,St Petersburg Pier,9EV3,San Petersburgo,"Local Flavor, Active Life, Tours, Hotels & Travel, American (Traditional), Arts & Crafts, Shopping, Restaurants, Arts & Entertainment, Aquariums",1.0,4.0,2006,True
191,561d,China King,9EV3,San Petersburgo,"Restaurants, Chinese",1.0,4.0,2006,True
192,8fb5,Cha Cha Coconuts Tropical Bar & Grill,9EV3,San Petersburgo,"Restaurants, Caribbean",1.0,3.0,2006,False
8,03ff,The Moon Under Water,9EV3,San Petersburgo,"Nightlife, British, Pubs, Bars, Indian, Restaurants",1.0,3.4,2009,False
9,0449,Mid Peninsula Seafood,9EV3,San Petersburgo,"Restaurants, Seafood Markets, Food, Seafood, Specialty Food, Local Flavor",1.0,4.0,2009,True
12,04f1,Mekong Vietnamese Restaurant,9EV3,San Petersburgo,"Restaurants, Vietnamese",1.0,3.0,2009,False
20,0711,Angie's Cafe,9EV3,San Petersburgo,"Burgers, American (New), Restaurants",1.0,4.0,2009,True
22,077d,Estela's Mexican Restaurant,9EV3,San Petersburgo,"Mexican, Ethnic Food, Specialty Food, Restaurants, Food",1.0,2.1,2009,False
26,07b3,The Chattaway,9EV3,San Petersburgo,"Restaurants, Venues & Event Spaces, Burgers, Event Planning & Services, American (Traditional)",1.0,2.8,2009,False
31,08ac,4th Street Shrimp Store,9EV3,San Petersburgo,"Restaurants, Nightlife, Burgers, Beer Bar, Bars, Seafood",1.0,2.0,2009,False
33,08c4,Kinjo's Japanese Restaurant,9EV3,San Petersburgo,"Japanese, Sushi Bars, Restaurants",1.0,4.0,2009,True
38,0970,Central Pizza & Subs,9EV3,San Petersburgo,"Pizza, Food Delivery Services, Food, Restaurants",1.0,3.0,2009,False
39,09a2,Bula Kafe,9EV3,San Petersburgo,"Nightlife, Lounges, Coffee & Tea, Cafes, Bars, Restaurants, Food",1.0,4.0,2009,True
57,0e4b,Italia Mia,9EV3,San Petersburgo,"Pizza, Italian, Restaurants",1.0,4.0,2009,True
77,147a,Zeko's Mediterranean Grill,9EV3,San Petersburgo,"Greek, Middle Eastern, Restaurants, Seafood, Mediterranean",1.0,3.5,2009,False
93,18a0,Ha Long Bay,9EV3,San Petersburgo,"Asian Fusion, Restaurants, Cantonese, Dim Sum, Chinese, Vietnamese",1.0,4.2,2009,True
96,19cd,Fresco's Waterfront Bistro,9EV3,San Petersburgo,"Nightlife, Restaurants, Seafood, Bistros, American (Traditional), Bars",1.0,4.0,2009,True
107,1c1a,Bowled Restaurant,9EV3,San Petersburgo,"Restaurants, American (New)",1.0,4.2,2009,True
114,1edf,Caribbean Cafe,9EV3,San Petersburgo,"Restaurants, American (New)",1.0,4.5,2009,True
120,204d,Williams Sub Shop,9EV3,San Petersburgo,"Restaurants, Sandwiches",1.0,5.0,2009,True
121,2068,Lonni's Sandwiches Etc,9EV3,San Petersburgo,"Food Delivery Services, Sandwiches, Restaurants, Food",0.5,2.0,2009,False
126,21e9,Toby's Original Little Italy Pizza,9EV3,San Petersburgo,"Italian, Pizza, Restaurants",1.0,4.0,2009,True
128,2287,Ferg's Sports Bar & Grill,9EV3,San Petersburgo,"Restaurants, Nightlife, American (Traditional), Bars, Sports Bars",1.0,3.0,2009,False
136,23e7,Zapata's Restaurant and Tequila Bar,9EV3,San Petersburgo,"Mexican, Restaurants",1.0,1.5,2009,False
161,2caf,A Corner of England,9EV3,San Petersburgo,"Food, Coffee & Tea, Tea Rooms, Restaurants, Shopping",1.0,3.0,2009,False
176,3156,Mad Fish,9EV3,San Petersburgo,"Restaurants, American (Traditional), Steakhouses, Seafood",1.0,4.3,2009,True
181,3219,Fish Tales,9EV3,San Petersburgo,"Bars, Seafood, Steakhouses, Nightlife, Restaurants, Dive Bars",1.0,3.5,2009,False
199,37d2,Mastry's,9EV3,San Petersburgo,"Bars, Restaurants, Nightlife, American (Traditional)",1.0,2.0,2009,False
210,3b23,Limey's Pub,9EV3,San Petersburgo,"Bars, Pubs, British, Nightlife, Restaurants",1.0,2.4,2009,False
211,3b45,Five Guys Burgers and Fries,9EV3,San Petersburgo,"Restaurants, Burgers, Fast Food",1.0,4.0,2009,True
244,45c2,CD Roma's,9EV3,San Petersburgo,"Pizza, Italian, Restaurants",1.0,5.0,2009,True
248,46b7,Cafe Mozart,9EV3,San Petersburgo,"Food, Restaurants, Bakeries, Cafes",1.0,4.0,2009,True
264,4bde,Mazzaro's Italian Market,9EV3,San Petersburgo,"Specialty Food, Delis, Coffee Roasteries, Butcher, Meat Shops, Food, Restaurants, Grocery, Italian",1.0,4.4,2009,True
268,4c77,St Petersburg Pier,9EV3,San Petersburgo,"Local Flavor, Active Life, Tours, Hotels & Travel, American (Traditional), Arts & Crafts, Shopping, Restaurants, Arts & Entertainment, Aquariums",1.0,3.3,2009,False
271,4d57,Captain Al's,9EV3,San Petersburgo,"American (Traditional), Food, Seafood, Restaurants, Beer, Wine & Spirits",1.0,5.0,2009,True
287,5191,Gratzzi Italian Grille,9EV3,San Petersburgo,"Restaurants, Italian",1.0,4.0,2009,True
298,5546,China Kitchen,9EV3,San Petersburgo,"Chinese, Restaurants",1.0,1.0,2009,False
322,5b80,Savannah's Cafe,9EV3,San Petersburgo,"Restaurants, Southern",1.0,2.3,2009,False
329,5ced,Tiparos Thai Restaurant,9EV3,San Petersburgo,"Thai, Restaurants",1.0,4.8,2009,True
338,5fe4,Fortunato's Italian Market,9EV3,San Petersburgo,"Pizza, Restaurants, Italian, Chicken Wings",1.0,2.3,2009,False
344,6188,Jo-Jo's In Citta,9EV3,San Petersburgo,"Pizza, Italian, Restaurants",1.0,3.0,2009,False
348,6252,Parkshore Grill,9EV3,San Petersburgo,"Caterers, American (New), Food, Seafood, American (Traditional), Restaurants, Event Planning & Services, Steakhouses",1.0,4.3,2009,True
364,66e0,The Melting Pot,9EV3,San Petersburgo,"American (New), Fondue, Gluten-Free, Restaurants, Salad",1.0,4.0,2009,True
382,6af8,Dairy Inn,9EV3,San Petersburgo,"Restaurants, Ice Cream & Frozen Yogurt, Chicken Wings, Food, Sandwiches, Hot Dogs, Comfort Food, Burgers",1.0,4.2,2009,True
388,6c1b,Athenian Garden,9EV3,San Petersburgo,"Specialty Food, Food, Ethnic Food, American (Traditional), Imported Food, Greek, Restaurants",1.0,3.8,2009,False
389,6cc4,The Queenshead Eurobar,9EV3,San Petersburgo,"Bars, British, Breakfast & Brunch, Nightlife, Pubs, American (Traditional), Gastropubs, Restaurants",1.0,4.5,2009,True
396,6e93,Courigan's Irish Pub,9EV3,San Petersburgo,"Bars, Restaurants, Pubs, Irish, Nightlife, Irish Pub, Sports Bars",1.0,4.0,2009,True
410,71b5,Ichiban Japanese Restaurant & Sushi Bar,9EV3,San Petersburgo,"Sushi Bars, Japanese, Restaurants, Thai",1.0,4.0,2009,True
433,79f9,Leafy Greens Cafe,9EV3,San Petersburgo,"Soup, Gluten-Free, Breakfast & Brunch, Vegetarian, Vegan, Restaurants",1.0,3.5,2009,False
454,7fcb,Shep's Food Mart,9EV3,San Petersburgo,"Grocery, Delis, Food, Beer, Wine & Spirits, Restaurants",1.0,4.5,2009,True
461,8273,Pacific Wave,9EV3,San Petersburgo,Restaurants,1.0,3.8,2009,False
463,8299,Ai Mei Thai Restaurant,9EV3,San Petersburgo,"Thai, Restaurants",0.5,2.0,2009,False
481,8803,Crab Shack Restaurant,9EV3,San Petersburgo,"Seafood, Restaurants",1.0,2.8,2009,False
490,8ad7,Stone Soup Cafe,9EV3,San Petersburgo,"Nightlife, Sandwiches, Soup, Salad, Restaurants, Bars, Food, Beer Bar, Pubs, Beer, Wine & Spirits, British",1.0,5.0,2009,True
511,8f64,Kahuna's Bar And Grill,9EV3,San Petersburgo,"Burgers, Sports Bars, Mexican, Nightlife, Restaurants, Bars",1.0,3.0,2009,False
512,8fb5,Cha Cha Coconuts Tropical Bar & Grill,9EV3,San Petersburgo,"Restaurants, Caribbean",1.0,1.3,2009,False
514,900b,India Grill,9EV3,San Petersburgo,"Pakistani, Restaurants, Indian",1.0,2.7,2009,False
542,989d,Hooks Sushi Bar & Thai Food,9EV3,San Petersburgo,"Chinese, Japanese, Sushi Bars, Restaurants, Thai",1.0,4.0,2009,True
543,98dc,Pincho Y Pincho,9EV3,San Petersburgo,"Spanish, Basque, Restaurants, Tapas Bars",1.0,3.5,2009,False
548,99e3,Schakolad Chocolate Factory,9EV3,San Petersburgo,"Food, Coffee & Tea, Specialty Food, Chocolatiers & Shops, Restaurants, Desserts",1.0,4.0,2009,True
557,9d34,Joans Ann Bakery,9EV3,San Petersburgo,"Bakeries, Food, Restaurants",1.0,3.0,2009,False
561,9e00,Panchero's Mexican Grill,9EV3,San Petersburgo,"Restaurants, Mexican",1.0,3.5,2009,False
567,a021,Kissin' Cuzzins,9EV3,San Petersburgo,"Restaurants, Breakfast & Brunch, Diners, Sandwiches, Wraps",1.0,3.5,2009,False
570,a12c,Munch's Sundries & Restaurant,9EV3,San Petersburgo,"Sandwiches, Restaurants, Breakfast & Brunch",1.0,3.0,2009,False
573,a1c2,Georgie's Alibi,9EV3,San Petersburgo,"Dance Clubs, Cafes, Bars, Nightlife, Restaurants, Sports Bars, American (Traditional), Gastropubs, Burgers",1.0,4.0,2009,True
591,a8be,Thuy Cafe,9EV3,San Petersburgo,"Bubble Tea, Vietnamese, Restaurants, Food, Sandwiches",1.0,4.2,2009,True
594,a95f,St. Pete Bagel Co.,9EV3,San Petersburgo,"Sandwiches, Restaurants, Bagels, Food, Donuts, Coffee & Tea",1.0,4.0,2009,True
597,abe7,Thai Kitchen,9EV3,San Petersburgo,"Restaurants, Thai",1.0,5.0,2009,True
609,b2fc,Kristina's Cafe,9EV3,San Petersburgo,"American (Traditional), Restaurants, Diners",1.0,4.5,2009,True
611,b34e,Banyan Cafe & Catering,9EV3,San Petersburgo,"Food, Breakfast & Brunch, Coffee & Tea, Restaurants",1.0,5.0,2009,True
637,bad9,Cuban Delight Cafe,9EV3,San Petersburgo,"Cuban, Restaurants",1.0,3.0,2009,False
644,be49,Babalu,9EV3,San Petersburgo,"Nightlife, Burgers, Bars, American (Traditional), Restaurants",0.5,2.0,2009,False
650,c028,Cafe Bohemia,9EV3,San Petersburgo,"Coffee & Tea, Art Galleries, Arts & Entertainment, Restaurants, Shopping, Beer, Wine & Spirits, Food",1.0,4.0,2009,True
656,c35f,China City Restaurant,9EV3,San Petersburgo,"Restaurants, Chinese",0.5,1.0,2009,False
664,c622,Cracker Barrel Old Country Store,9EV3,San Petersburgo,"Comfort Food, Caterers, Breakfast & Brunch, Southern, American (Traditional), Event Planning & Services, Restaurants",1.0,4.0,2009,True
666,c693,Primi Urban Cafe,9EV3,San Petersburgo,"Italian, Nightlife, Restaurants, Piano Bars",1.0,4.2,2009,True
670,c72c,Cafe Vienna,9EV3,San Petersburgo,"Breakfast & Brunch, German, Austrian, Restaurants",1.0,4.5,2009,True
672,c770,Beachwood BBQ & Burger,9EV3,San Petersburgo,"Burgers, Restaurants, Barbeque",1.0,5.0,2009,True
678,c820,Joey Brooklyn's Famous Pizza Kitchen,9EV3,San Petersburgo,"Sandwiches, Pizza, Restaurants, Salad",1.0,3.0,2009,False
691,ccc6,Burrito Boarder,9EV3,San Petersburgo,"Food, Restaurants, Specialty Food, Mexican",1.0,3.8,2009,False
692,cd29,Gateway Pizza and Pasta,9EV3,San Petersburgo,"Italian, Restaurants, Pizza",0.5,1.0,2009,False
711,d639,Biff Burger & Buffy's BBQ,9EV3,San Petersburgo,"Burgers, Restaurants, Nightlife, Barbeque, Bars",1.0,3.2,2009,False
731,dc36,Art of Sushi,9EV3,San Petersburgo,"Restaurants, Sushi Bars, Asian Fusion, Japanese, Steakhouses",1.0,4.0,2009,True
734,dc6a,"JO-EL'S Kosher Deli, Market & Café",9EV3,San Petersburgo,"Restaurants, Sandwiches, Food, Kosher, Delis, Food Delivery Services",1.0,3.0,2009,False
738,de3e,Black Forest Cottage Restaurant,9EV3,San Petersburgo,"Food, Bakeries, German, Restaurants, Ice Cream & Frozen Yogurt",1.0,5.0,2009,True
769,e93d,Cody's Original Roadhouse,9EV3,San Petersburgo,"Pubs, Restaurants, Steakhouses, Nightlife, American (Traditional), Bars",1.0,3.5,2009,False
779,eb48,O' Bistro,9EV3,San Petersburgo,"American (New), Restaurants",1.0,3.7,2009,False
788,eee9,China One,9EV3,San Petersburgo,"Restaurants, Chinese",1.0,3.5,2009,False
831,feb0,Garden Restaurant,9EV3,San Petersburgo,"Food Delivery Services, Jazz & Blues, Food, American (Traditional), Arts & Entertainment, Mediterranean, Restaurants, Nightlife",1.0,3.7,2009,False
7,0261,Tsunami Japanese Steakhouse,9EV3,San Petersburgo,"Steakhouses, Restaurants, Sushi Bars, Japanese",1.0,5.0,2010,True
10,02a4,Lanna Thai and Sushi Restaurant,9EV3,San Petersburgo,"Thai, Restaurants",1.0,4.0,2010,True
16,03ff,The Moon Under Water,9EV3,San Petersburgo,"Nightlife, British, Pubs, Bars, Indian, Restaurants",1.0,3.8,2010,False
17,0449,Mid Peninsula Seafood,9EV3,San Petersburgo,"Restaurants, Seafood Markets, Food, Seafood, Specialty Food, Local Flavor",1.0,4.5,2010,True
20,04f1,Mekong Vietnamese Restaurant,9EV3,San Petersburgo,"Restaurants, Vietnamese",1.0,2.3,2010,False
32,072b,A Taste of Asia Restaurant,9EV3,San Petersburgo,"Asian Fusion, Restaurants",1.0,4.0,2010,True
38,07b3,The Chattaway,9EV3,San Petersburgo,"Restaurants, Venues & Event Spaces, Burgers, Event Planning & Services, American (Traditional)",1.0,4.0,2010,True
