id_centros_hosteleria,centros_hosteleria,direccion,id_condado,condado,codigo_postal_condado,latitud_condado,longitud_condado,id_ciudad,ciudad,codigo_postal_ciudad,latitud_ciudad,longitud_ciudad,estado,categorias,puntuacion_usuarios,analisis_sentimientos,anio
1X2FS,River's Edge,200 N Ashley Dr,W0hC,Hillsborough,"33602, 33647, 33511",27.9903597,-82.3017728,RGTW,Tampa,"33602, 33611, 33647",27.9516896,-82.4587527,Florida,"Restaurants, Cocktail Bars, American (New), Bars, Hotels & Travel, Tapas/Small Plates, Hotels, Event Planning & Services, Nightlife, Seafood",3.5,positivo,2010
VO6AB,Residence Inn by Marriott St. Petersburg Treasure Island,11908 Gulf Blvd,fOTb,Pinellas,"33701, 33756, 33781",27.876394,-82.7778579,dEd9,Treasure Island,33706,27.7691937,-82.7689906,Florida,"Hotels & Travel, Event Planning & Services, Hotels",4.5,positivo,2010
A6VBD,Residence Inn Tampa Suncoast Parkway at NorthPointe Village,2101 Northpointe Pkwy,cwIb,Hillsborough,"33602, 33647, 33511",27.9903597,-82.3017728,1GQ7,Lutz,"33548, 33549",28.1511243,-82.4614831,Florida,"Event Planning & Services, Hotels & Travel, Hotels, Venues & Event Spaces",3.5,positivo,2010
65F6H,Residence Inn Tampa Downtown,101 E Tyler St,W0hC,Hillsborough,"33602, 33647, 33511",27.9903597,-82.3017728,RGTW,Tampa,"33602, 33611, 33647",27.9516896,-82.4587527,Florida,"Hotels & Travel, Event Planning & Services, Hotels, Venues & Event Spaces",3.5,positivo,2010
8E0SC,Sirata Beach Resort,5300 Gulf Blvd,2BPR,Pinellas,"33701, 33756, 33781",27.876394,-82.7778579,emDA,St. Pete Beach,33706,27.7428134,-82.7504542,Florida,"Hotels, Event Planning & Services, Hotels & Travel",2.5,positivo,2010
J71JF,Spinners Revolving Roof-Top Lounge,5250 Gulf Blvd,2BPR,Pinellas,"33701, 33756, 33781",27.876394,-82.7778579,emDA,St. Pete Beach,33706,27.7428134,-82.7504542,Florida,"Hotels, Caterers, Restaurants, Seafood, Hotels & Travel, Sandwiches, Salad, Event Planning & Services",3.5,negativo,2010
7E78U,Red Roof Inn Tampa - Brandon,10121 Horace Ave,W0hC,Hillsborough,"33602, 33647, 33511",27.9903597,-82.3017728,RGTW,Tampa,"33602, 33611, 33647",27.9516896,-82.4587527,Florida,"Event Planning & Services, Hotels & Travel, Hotels",1.5,negativo,2010
2A6NI,SpringHill Suites by Marriott Tampa Westshore Airport,4835 W Cypress St,W0hC,Hillsborough,"33602, 33647, 33511",27.9903597,-82.3017728,RGTW,Tampa,"33602, 33611, 33647",27.9516896,-82.4587527,Florida,"Hotels, Event Planning & Services, Hotels & Travel, Venues & Event Spaces",4,positivo,2010
1PTPC,The Don CeSar,3400 Gulf Blvd,2BPR,Pinellas,"33701, 33756, 33781",27.876394,-82.7778579,emDA,St. Pete Beach,33706,27.7428134,-82.7504542,Florida,"Hotels & Travel, Hotels, Event Planning & Services, Beauty & Spas, Venues & Event Spaces, Restaurants, American (New), Day Spas",3.5,negativo,2010
32N3G,La Quinta by Wyndham Tampa Fairgrounds - Casino,4811 US Hwy 301 North,W0hC,Hillsborough,"33602, 33647, 33511",27.9903597,-82.3017728,RGTW,Tampa,"33602, 33611, 33647",27.9516896,-82.4587527,Florida,"Hotels & Travel, Hotels, Event Planning & Services",2.5,positivo,2010
ZC0XI,Sheraton Tampa Riverwalk Hotel,200 North Ashley Drive,W0hC,Hillsborough,"33602, 33647, 33511",27.9903597,-82.3017728,RGTW,Tampa,"33602, 33611, 33647",27.9516896,-82.4587527,Florida,"Event Planning & Services, Hotels & Travel, Venues & Event Spaces, Hotels",2.5,positivo,2010
GGM8A,Shula's Steak House,4860 W Kennedy Blvd,W0hC,Hillsborough,"33602, 33647, 33511",27.9903597,-82.3017728,RGTW,Tampa,"33602, 33611, 33647",27.9516896,-82.4587527,Florida,"Hotels & Travel, Airports, American (Traditional), Restaurants, Steakhouses, Seafood",3,positivo,2010
ZR47Z,Southwest Airlines,4100 George J Bean Pkwy,W0hC,Hillsborough,"33602, 33647, 33511",27.9903597,-82.3017728,RGTW,Tampa,"33602, 33611, 33647",27.9516896,-82.4587527,Florida,"Hotels & Travel, Transportation, Airlines",3,negativo,2010
POJCQ,The Don Vicente de Ybor Historic Inn,"1915 Republica de Cuba, 14th St & 9th Ave",W0hC,Hillsborough,"33602, 33647, 33511",27.9903597,-82.3017728,RGTW,Tampa,"33602, 33611, 33647",27.9516896,-82.4587527,Florida,"Hotels, Local Flavor, Hotels & Travel, Event Planning & Services",4,positivo,2010
1UWC7,Clearwater Marine Aquarium,249 Windward Passage,UAIE,Pinellas,"33701, 33756, 33781",27.876394,-82.7778579,MCCU,Clearwater,"33755, 33756, 33759",27.9655722,-82.7958948,Florida,"Local Services, Aquariums, Active Life, Summer Camps, Hotels & Travel, Parks, Community Service/Non-Profit, Boat Tours, Tours",3,positivo,2010
OAG0R,Embassy Suites by Hilton Tampa Brandon,10220 Palm River Rd,W0hC,Hillsborough,"33602, 33647, 33511",27.9903597,-82.3017728,RGTW,Tampa,"33602, 33611, 33647",27.9516896,-82.4587527,Florida,"Hotels & Travel, Hotels, Venues & Event Spaces, Event Planning & Services",4,positivo,2010
D6NQJ,Comfort Suites Clearwater - Dunedin,1941 Edgewater Drive,UAIE,Pinellas,"33701, 33756, 33781",27.876394,-82.7778579,MCCU,Clearwater,"33755, 33756, 33759",27.9655722,-82.7958948,Florida,"Event Planning & Services, Hotels & Travel, Hotels",2.5,positivo,2010
RD2N2,Embassy Suites by Hilton Tampa Airport Westshore,555 N Westshore Blvd,W0hC,Hillsborough,"33602, 33647, 33511",27.9903597,-82.3017728,RGTW,Tampa,"33602, 33611, 33647",27.9516896,-82.4587527,Florida,"Hotels & Travel, Event Planning & Services, Restaurants, Hotels",2.5,positivo,2010
WSW9U,Doubletree by Hilton Tampa Airport - Westshore,4500 W Cypress St,W0hC,Hillsborough,"33602, 33647, 33511",27.9903597,-82.3017728,RGTW,Tampa,"33602, 33611, 33647",27.9516896,-82.4587527,Florida,"Hotels & Travel, Chiropractors, Doctors, Medical Centers, Event Planning & Services, Hotels, Health & Medical",2.5,positivo,2010
MB2UC,DoubleTree by Hilton Tampa Rocky Point Waterfront,3050 N Rocky Point Dr W,W0hC,Hillsborough,"33602, 33647, 33511",27.9903597,-82.3017728,RGTW,Tampa,"33602, 33611, 33647",27.9516896,-82.4587527,Florida,"Event Planning & Services, Hotels, Venues & Event Spaces, Hotels & Travel",3.5,positivo,2010
XSLBE,Dolphin Beach Resort,4900 Gulf Blvd,2BPR,Pinellas,"33701, 33756, 33781",27.876394,-82.7778579,emDA,St. Pete Beach,33706,27.7428134,-82.7504542,Florida,"Event Planning & Services, Venues & Event Spaces, Hotels, Hotels & Travel",2.5,negativo,2010
2FQE0,Dollar Rent A Car,5405 Airport Service Rd,W0hC,Hillsborough,"33602, 33647, 33511",27.9903597,-82.3017728,RGTW,Tampa,"33602, 33611, 33647",27.9516896,-82.4587527,Florida,"Truck Rental, Parking, Car Rental, Hotels & Travel, Automotive",1.5,negativo,2010
MHG8D,Days Inn North Tampa Near Busch Gardens,701 E Fletcher Ave,W0hC,Hillsborough,"33602, 33647, 33511",27.9903597,-82.3017728,RGTW,Tampa,"33602, 33611, 33647",27.9516896,-82.4587527,Florida,"Hotels, Event Planning & Services, Hotels & Travel",1,negativo,2010
AM6LT,Lake Como Family Nudist Resort,20500 Cot Rd,cwIb,Hillsborough,"33602, 33647, 33511",27.9903597,-82.3017728,1GQ7,Lutz,"33548, 33549",28.1511243,-82.4614831,Florida,"Campgrounds, Hotels & Travel, Hotels, Resorts, Amateur Sports Teams, Nudist, Event Planning & Services, Vacation Rentals, Leisure Centers, Active Life",3.5,positivo,2010
FIIEA,Crowne Plaza Tampa Westshore,5303 W Kennedy Blvd,W0hC,Hillsborough,"33602, 33647, 33511",27.9903597,-82.3017728,RGTW,Tampa,"33602, 33611, 33647",27.9516896,-82.4587527,Florida,"Hotels & Travel, Venues & Event Spaces, Hotels, Event Planning & Services",3,negativo,2010
FBMNN,Courtyard by Marriott Tampa Westshore/Airport,3805 West Cypress,W0hC,Hillsborough,"33602, 33647, 33511",27.9903597,-82.3017728,RGTW,Tampa,"33602, 33611, 33647",27.9516896,-82.4587527,Florida,"Hotels, Venues & Event Spaces, Event Planning & Services, Hotels & Travel",3,positivo,2010
EG12Z,Courtyard by Marriott Tampa Oldsmar,4014 Tampa Rd,WAVo,Pinellas,"33701, 33756, 33781",27.876394,-82.7778579,96OP,Oldsmar,34677,28.0341847,-82.6650992,Florida,"Hotels & Travel, Hotels, Event Planning & Services",4,positivo,2010
4CJ6L,Courtyard by Marriott St. Petersburg Clearwater,3131 Executive Drive,UAIE,Pinellas,"33701, 33756, 33781",27.876394,-82.7778579,MCCU,Clearwater,"33755, 33756, 33759",27.9655722,-82.7958948,Florida,"Event Planning & Services, Hotels & Travel, Hotels, Venues & Event Spaces",3.5,positivo,2010
98WE8,Courtyard by Marriott St Petersburg Downtown,300 4th St N,L0b3,Pinellas,"33701, 33756, 33781",27.876394,-82.7778579,p9Ny,St. Petersburg,33701,27.7671271,-82.6384451,Florida,"Food, Restaurants, Breakfast & Brunch, Bagels, Venues & Event Spaces, Event Planning & Services, Hotels & Travel, Hotels",3,positivo,2010
PW30Y,Courtyard Tampa Downtown,102 E Cass St,W0hC,Hillsborough,"33602, 33647, 33511",27.9903597,-82.3017728,RGTW,Tampa,"33602, 33611, 33647",27.9516896,-82.4587527,Florida,"Hotels, Hotels & Travel, Event Planning & Services",3,positivo,2010
MGO35,Courtyard Tampa Brandon,10152 Palm River Road,W0hC,Hillsborough,"33602, 33647, 33511",27.9903597,-82.3017728,RGTW,Tampa,"33602, 33611, 33647",27.9516896,-82.4587527,Florida,"Venues & Event Spaces, Event Planning & Services, Hotels, Hotels & Travel",3.5,negativo,2010
89HCG,Comfort Suites Tampa - Brandon,9932 E Adamo Dr,W0hC,Hillsborough,"33602, 33647, 33511",27.9903597,-82.3017728,RGTW,Tampa,"33602, 33611, 33647",27.9516896,-82.4587527,Florida,"Event Planning & Services, Hotels & Travel, Hotels",3,negativo,2010
FSVQ6,Holiday Inn Express & Suites Tampa/Rocky Point Island,3025 North Rocky Point Drive East,W0hC,Hillsborough,"33602, 33647, 33511",27.9903597,-82.3017728,RGTW,Tampa,"33602, 33611, 33647",27.9516896,-82.4587527,Florida,"Hotels, Venues & Event Spaces, Hotels & Travel, Event Planning & Services",3,positivo,2010
BKI68,Holiday Inn Express Hotel & Suites,10826 US Hwy 19,S9aR,Pasco,"34637, 34652, 34668",28.3232418,-82.4319405,9LT4,Port Richey,34668,28.2716755,-82.7195451,Florida,"Hotels & Travel, Event Planning & Services, Hotels",4,positivo,2010
THPJN,Crowne Plaza Hotel Tampa East,10221 Princess Palm Ave,W0hC,Hillsborough,"33602, 33647, 33511",27.9903597,-82.3017728,RGTW,Tampa,"33602, 33611, 33647",27.9516896,-82.4587527,Florida,"Event Planning & Services, Hotels & Travel, Venues & Event Spaces, Hotels",2.5,positivo,2010
766G2,Lazydays RV of Tampa,6130 Lazy Days Blvd,AiDA,Hillsborough,"33602, 33647, 33511",27.9903597,-82.3017728,JIN0,Seffner,33584,27.9836329,-82.2756468,Florida,"RV Dealers, RV Parks, Automotive, RV Repair, Hotels & Travel, Trailer Dealers, Auto Parts & Supplies, RV Rental",2.5,positivo,2010
3JW9V,MOSI,4801 E Fowler Ave,W0hC,Hillsborough,"33602, 33647, 33511",27.9903597,-82.3017728,RGTW,Tampa,"33602, 33611, 33647",27.9516896,-82.4587527,Florida,"Arts & Entertainment, Tours, Cinema, Hotels & Travel, Museums",3,positivo,2010
BPSB2,Marchand's Bar & Grill,501 5th Avenue NE,L0b3,Pinellas,"33701, 33756, 33781",27.876394,-82.7778579,p9Ny,St. Petersburg,33701,27.7671271,-82.6384451,Florida,"Seafood, Restaurants, Hotels & Travel, Nightlife, Event Planning & Services, Breakfast & Brunch, American (New), Lounges, Hotels, Bars, American (Traditional), Local Flavor",3.5,positivo,2010
S0E3O,Hyatt Regency Tampa,211 N Tampa St,W0hC,Hillsborough,"33602, 33647, 33511",27.9903597,-82.3017728,RGTW,Tampa,"33602, 33611, 33647",27.9516896,-82.4587527,Florida,"Hotels, Hotels & Travel, Event Planning & Services",3.5,positivo,2010
SGZZ4,Inn On The Gulf,6330 Clark St,7oPd,Pasco,"34637, 34652, 34668",28.3232418,-82.4319405,Y3QW,Hudson,34667,28.3644485,-82.6934343,Florida,"Restaurants, Steakhouses, Seafood, Hotels, Event Planning & Services, Hotels & Travel",4,positivo,2010
729HU,Inn On the Beach,1401 Gulf Way,2BPR,Pinellas,"33701, 33756, 33781",27.876394,-82.7778579,emDA,St. Pete Beach,33706,27.7428134,-82.7504542,Florida,"Bed & Breakfast, Event Planning & Services, Hotels & Travel, Hotels, Local Services",4.5,positivo,2010
5S2Z4,Innisbrook Resort,36750 US Hwy 19 N,Zhuo,Pinellas,"33701, 33756, 33781",27.876394,-82.7778579,IKXB,Palm Harbor,"34683, 34684",28.0780718,-82.7637127,Florida,"Resorts, Hotels, Active Life, Hotels & Travel, Event Planning & Services, Beauty & Spas, Day Spas, Golf",3,positivo,2010
4DGUP,InterContinental Tampa,4860 W Kennedy Blvd,W0hC,Hillsborough,"33602, 33647, 33511",27.9903597,-82.3017728,RGTW,Tampa,"33602, 33611, 33647",27.9516896,-82.4587527,Florida,"Hotels & Travel, Resorts, Restaurants, Event Planning & Services, Steakhouses, Venues & Event Spaces, Hotels",3,negativo,2010
SNC0K,La Quinta Inn by Wyndham Tampa Bay Airport,4730 W. Spruce St,W0hC,Hillsborough,"33602, 33647, 33511",27.9903597,-82.3017728,RGTW,Tampa,"33602, 33611, 33647",27.9516896,-82.4587527,Florida,"Event Planning & Services, Hotels, Hotels & Travel",2.5,negativo,2010
QO66E,Holiday Inn Hotel & Suites Tampa N - Busch Gardens Area,11310 N 30th St,W0hC,Hillsborough,"33602, 33647, 33511",27.9903597,-82.3017728,RGTW,Tampa,"33602, 33611, 33647",27.9516896,-82.4587527,Florida,"Hotels, Venues & Event Spaces, Hotels & Travel, Resorts, Event Planning & Services",3,negativo,2010
ONYP5,Red Roof Inn,2307 E Busch Blvd,W0hC,Hillsborough,"33602, 33647, 33511",27.9903597,-82.3017728,RGTW,Tampa,"33602, 33611, 33647",27.9516896,-82.4587527,Florida,"Hotels, Event Planning & Services, Hotels & Travel",1.5,positivo,2010
R823M,Renaissance Tampa International Plaza Hotel,4200 Jim Walter Blvd,W0hC,Hillsborough,"33602, 33647, 33511",27.9903597,-82.3017728,RGTW,Tampa,"33602, 33611, 33647",27.9516896,-82.4587527,Florida,"Hotels, Event Planning & Services, Venues & Event Spaces, Hotels & Travel",4,positivo,2010
0FE2H,Hyatt Regency Clearwater Beach Resort & Spa,301 S Gulfview Blvd,UAIE,Pinellas,"33701, 33756, 33781",27.876394,-82.7778579,MCCU,Clearwater,"33755, 33756, 33759",27.9655722,-82.7958948,Florida,"Beer, Wine & Spirits, Local Flavor, Arts & Entertainment, Hotels & Travel, Festivals, Day Spas, Hotels, Event Planning & Services, Resorts, Food, Beauty & Spas",4,positivo,2010
1CQ2K,St Petersburg Pier,"800 2nd Ave NE, Ste 3002",vV1W,Pinellas,"33701, 33756, 33781",27.876394,-82.7778579,KOLOGC,Saint Petersburg,33701,27.7671271,-82.6384451,Florida,"Local Flavor, Active Life, Tours, Hotels & Travel, American (Traditional), Arts & Crafts, Shopping, Restaurants, Arts & Entertainment, Aquariums",3,positivo,2010
J3KQS,St. Petersburg Marriott Clearwater,12600 Roosevelt Blvd N,L0b3,Pinellas,"33701, 33756, 33781",27.876394,-82.7778579,p9Ny,St. Petersburg,33701,27.7671271,-82.6384451,Florida,"Wedding Planning, Hotels, Event Planning & Services, Venues & Event Spaces, Hotels & Travel",3.5,positivo,2010
B3D4S,Suites At Mainsail Village,5108 Eisenhower Blvd,W0hC,Hillsborough,"33602, 33647, 33511",27.9903597,-82.3017728,RGTW,Tampa,"33602, 33611, 33647",27.9516896,-82.4587527,Florida,"Hotels, Hotels & Travel, Event Planning & Services",2.5,positivo,2010
KDASN,Sunken Gardens,1825 4th St N,vV1W,Pinellas,"33701, 33756, 33781",27.876394,-82.7778579,KOLOGC,Saint Petersburg,33701,27.7671271,-82.6384451,Florida,"Venues & Event Spaces, Event Planning & Services, Hotels & Travel, Botanical Gardens, Home & Garden, Tours, Shopping, Nurseries & Gardening, Arts & Entertainment",4.5,positivo,2010
W61U7,Sunset Vistas Beachfront Suites,12000 Gulf Blvd,fOTb,Pinellas,"33701, 33756, 33781",27.876394,-82.7778579,dEd9,Treasure Island,33706,27.7691937,-82.7689906,Florida,"Hotels & Travel, Event Planning & Services, Hotels",4,positivo,2010
5ITRQ,SuperShuttle,Null,L0b3,Pinellas,"33701, 33756, 33781",27.876394,-82.7778579,p9Ny,St. Petersburg,33701,27.7671271,-82.6384451,Florida,"Professional Services, Limos, Hotels & Travel, Transportation, Airport Shuttles",3.5,negativo,2010
QZ2KQ,Tahitian Inn,601 S Dale Mabry Hwy,W0hC,Hillsborough,"33602, 33647, 33511",27.9903597,-82.3017728,RGTW,Tampa,"33602, 33611, 33647",27.9516896,-82.4587527,Florida,"Event Planning & Services, Hotels & Travel, Hotels",2.5,negativo,2010
CG418,Tampa Airport Marriott,"Tampa International Airport, 4200 George J. Bean Pkwy",W0hC,Hillsborough,"33602, 33647, 33511",27.9903597,-82.3017728,RGTW,Tampa,"33602, 33611, 33647",27.9516896,-82.4587527,Florida,"Event Planning & Services, Hotels, Hotels & Travel, Venues & Event Spaces",3.5,positivo,2010
5J3N8,Tampa International Airport,4100 George J Bean Pkwy,W0hC,Hillsborough,"33602, 33647, 33511",27.9903597,-82.3017728,RGTW,Tampa,"33602, 33611, 33647",27.9516896,-82.4587527,Florida,"Hotels & Travel, Shopping, Airports, Parking, Shopping Centers, Automotive",4,positivo,2010
XII1Y,Tampa Marriott Water Street,505 Water St,W0hC,Hillsborough,"33602, 33647, 33511",27.9903597,-82.3017728,RGTW,Tampa,"33602, 33611, 33647",27.9516896,-82.4587527,Florida,"Hotels & Travel, Event Planning & Services, Hotels, Venues & Event Spaces",3.5,positivo,2010
NDXO4,St. Petersburg / Madeira Beach KOA,5400 95th St N,vV1W,Pinellas,"33701, 33756, 33781",27.876394,-82.7778579,KOLOGC,Saint Petersburg,33701,27.7671271,-82.6384451,Florida,"Campgrounds, Hotels & Travel, RV Parks",3.5,positivo,2010
K7GM2,Clarion Inn & Suites Central Clearwater Beach,20967 US 19 N,UAIE,Pinellas,"33701, 33756, 33781",27.876394,-82.7778579,MCCU,Clearwater,"33755, 33756, 33759",27.9655722,-82.7958948,Florida,"Event Planning & Services, Hotels, Hotels & Travel",2,positivo,2010
RZ2L1,Hyatt Place Tampa/Busch Gardens,11408 North 30th St,W0hC,Hillsborough,"33602, 33647, 33511",27.9903597,-82.3017728,RGTW,Tampa,"33602, 33611, 33647",27.9516896,-82.4587527,Florida,"Venues & Event Spaces, Hotels & Travel, Hotels, Event Planning & Services",3.5,positivo,2010
LZD6Q,Howard Johnson Plaza Tampa - Downtown,111 W Fortune St,W0hC,Hillsborough,"33602, 33647, 33511",27.9903597,-82.3017728,RGTW,Tampa,"33602, 33611, 33647",27.9516896,-82.4587527,Florida,"Tours, Hotels, Hotels & Travel, Event Planning & Services",2,negativo,2010
L7GJJ,Marriott Tampa Westshore,1001 N Westshore Blvd,W0hC,Hillsborough,"33602, 33647, 33511",27.9903597,-82.3017728,RGTW,Tampa,"33602, 33611, 33647",27.9516896,-82.4587527,Florida,"Event Planning & Services, Hotels, Venues & Event Spaces, Hotels & Travel",3,negativo,2010
BHA5B,Microtel Inn & Suites/Stadium,5405 N Church Ave,W0hC,Hillsborough,"33602, 33647, 33511",27.9903597,-82.3017728,RGTW,Tampa,"33602, 33611, 33647",27.9516896,-82.4587527,Florida,"Hotels & Travel, Event Planning & Services, Hotels",1,negativo,2010
WEJPW,Nepa Hut Beach Bar,6800 Sunshine Skyway Ln S,vV1W,Pinellas,"33701, 33756, 33781",27.876394,-82.7778579,KOLOGC,Saint Petersburg,33701,27.7671271,-82.6384451,Florida,"Event Planning & Services, Hotels, Bars, Hotels & Travel, Restaurants, Nightlife",3.5,negativo,2010
PMRCS,Paradise Lakes Resort,2001 Paradise Lakes Blvd,cwIb,Hillsborough,"33602, 33647, 33511",27.9903597,-82.3017728,1GQ7,Lutz,"33548, 33549",28.1511243,-82.4614831,Florida,"Event Planning & Services, Resorts, Day Spas, Fitness & Instruction, Gyms, Beauty & Spas, Active Life, Hotels, Hotels & Travel",2.5,neutral,2010
7P3FU,Payless Parking and Car Rental,1965 N Westshore Blvd,W0hC,Hillsborough,"33602, 33647, 33511",27.9903597,-82.3017728,RGTW,Tampa,"33602, 33611, 33647",27.9516896,-82.4587527,Florida,"Hotels & Travel, Parking, Local Services, Automotive, Car Rental",1.5,positivo,2010
KIKHT,Peter O Knight Airport,825 Severn Ave,W0hC,Hillsborough,"33602, 33647, 33511",27.9903597,-82.3017728,RGTW,Tampa,"33602, 33611, 33647",27.9516896,-82.4587527,Florida,"Airports, Hotels & Travel",5,positivo,2010
ZXMNJ,Ponce De Leon Hotel,95 Central Ave,vV1W,Pinellas,"33701, 33756, 33781",27.876394,-82.7778579,KOLOGC,Saint Petersburg,33701,27.7671271,-82.6384451,Florida,"Event Planning & Services, Beaches, Hotels & Travel, Hotels, Bed & Breakfast, Active Life",2,positivo,2010
U1USG,Postcard Inn on the Beach,6300 Gulf Blvd,2BPR,Pinellas,"33701, 33756, 33781",27.876394,-82.7778579,emDA,St Pete Beach,33706,27.7428134,-82.7504542,Florida,"Resorts, Hotels, Hotels & Travel, Event Planning & Services",2.5,positivo,2010
W0EKJ,Quality Hotel Clearwater Beach Resort,655 S Gulfview Blvd,O4uN,Pinellas,"33701, 33756, 33781",27.876394,-82.7778579,EXHF,Clearwater Beach,33767,27.972065,-82.8285877,Florida,"Hotels, Hotels & Travel, Event Planning & Services",3,positivo,2010
BELPJ,Hyatt Place Tampa Airport/Westshore,4811 W Main St,W0hC,Hillsborough,"33602, 33647, 33511",27.9903597,-82.3017728,RGTW,Tampa,"33602, 33611, 33647",27.9516896,-82.4587527,Florida,"Hotels, Hotels & Travel, Event Planning & Services, Venues & Event Spaces",3.5,positivo,2010
4DXVC,Quality Inn & Conference Center,2701 E Fowler Ave,W0hC,Hillsborough,"33602, 33647, 33511",27.9903597,-82.3017728,RGTW,Tampa,"33602, 33611, 33647",27.9516896,-82.4587527,Florida,"Event Planning & Services, Hotels, Hotels & Travel",2,negativo,2010
0USYD,Quorum Tampa Westshore,700 N. Westshore Boulevard,W0hC,Hillsborough,"33602, 33647, 33511",27.9903597,-82.3017728,RGTW,Tampa,"33602, 33611, 33647",27.9516896,-82.4587527,Florida,"Event Planning & Services, Hotels, Hotels & Travel, Venues & Event Spaces, Resorts",3,positivo,2010
FRMJF,La Quinta Inn by Wyndham Tampa Near Busch Gardens,9202 North 30th St,W0hC,Hillsborough,"33602, 33647, 33511",27.9903597,-82.3017728,RGTW,Tampa,"33602, 33611, 33647",27.9516896,-82.4587527,Florida,"RV Rental, Hotels, Event Planning & Services, Hotels & Travel",2,negativo,2010
6RW07,Tarpon Springs Aquarium and Animal Sanctuary,1722 N Pinellas Ave,Nq9L,Pinellas,"33701, 33756, 33781",27.876394,-82.7778579,3IGC,Tarpon Springs,"34688, 34689",28.1461248,-82.7567679,Florida,"Tours, Hotels & Travel, Active Life, Zoos, Aquariums, Amusement Parks",3.5,positivo,2010
6DL15,Holiday Inn St Petersburg N - Clearwater,3535 Ulmerton Rd,UAIE,Pinellas,"33701, 33756, 33781",27.876394,-82.7778579,MCCU,Clearwater,"33755, 33756, 33759",27.9655722,-82.7958948,Florida,"Hotels & Travel, Event Planning & Services, Hotels, Resorts, Venues & Event Spaces",3.5,positivo,2010
UNBEX,Holiday Inn SunSpree Resort St. Petersburg-Marina Cove,6800 Sunshine Skyway Ln,L0b3,Pinellas,"33701, 33756, 33781",27.876394,-82.7778579,p9Ny,St. Petersburg,33701,27.7671271,-82.6384451,Florida,"Event Planning & Services, Hotels, Venues & Event Spaces, Hotels & Travel, Restaurants",2.5,positivo,2010
