id_centros_educacion,centros_educacion
YM1GW,josephs school
I94TX,junior academy
63ZP4,jupiter school
R4MMI,keller high school
8TF20,kenly school
F2JMX,kensington park school
W3ECB,keswick christian school
M25MN,kings highway school
VLV26,kings school
TGKUY,knox hill school
6V3K8,lasalle high school
Q7SGL,lady land school
TVL55,lake ann school
UEQU0,lake forest elementary school
Q9XZK,lake lona school
ABJFK,lake park elementary school
BEVQX,lake shore high school
NLX67,lake shore school
3KMJK,lakeview school
V61RT,south area alternative school
KN1E0,lee high school
RRVUA,lee school
20XW7,lee school
8I0GJ,lee school
AGNAV,leesburg high school
0XLLW,oak park middle school
WTK4C,lewis school
W9JEH,liberty city school
JXHDH,lime sink school
XV7HN,lincoln park school
MVD2Z,little rock school
N0V6J,lomax school
99DNH,long branch school
XDQAB,james a long elementary school
NP5QN,louis avenue school
GXCLR,lovewood school
I5I6N,lyman high school
6FS7A,madison junior high school
H0HLE,madison school
2B5U3,madonna academy
EBPI5,magnolia school
EDWSW,mainland high school
93PP7,malloy school
Y4YC3,manatee high school
3PLML,marion lea school
ZN57P,mary help of christmas school
TEU9J,mcintosh student center
PUXWI,mendenhall school
W96KO,miami christian school
G05LP,miccosukee school
QMVF1,mickens school
QTDQI,middle school
KAP24,military trail school
BPLVP,millan school
G2RAG,jessie p. miller school
NCW2L,miller school
IITFH,mitchell school
M51ZF,moore school
GXM14,morning star school
49HWS,most holy redeemer school
6FY7K,mount tabor school
ZGYTC,mount zion school
7CPNL,mount zion school
B4GCX,mt. zion school
AWVJP,munson high school
07MRA,nathan young school
53EK9,a r c marion incorporated
Z3NS0,new hope school
MBT4L,new prospect school
CJTA8,north broward day school
AZCE5,north shore school
DF5KK,north ward school
PNWTJ,northwestern high school
LCAT3,oak grove school
ZZVWK,oak grove school
BR0TI,oak grove school
E4BTY,oak hill school
HT6Z5,oakhurst school
0TOMG,oakie ridge school
84BL8,ocala highlands school
FK2O5,northwest florida state college
UE86N,old town school
33TXD,orange grove school
HR7JB,rowlett middle academy
3HEUN,orchard villa school
UAXB1,oxford school
5XGPQ,palmetto school
IHXKW,parsons saint school
25RAS,pasadena school
HL99W,peck high school
AW4VO,pensacola christian school
WE5QN,pensacola community college
VJICL,petree school
32XDI,pickens school
PHCRI,picket lake school
RWFIK,pine crest prep school
IIW88,pine ridge school
J9C2W,pinewood drive
UEJ6E,pinewood acres school
NC8OD,plew elementary school
CGX5M,ponce de leon school
MUV9B,popiel school
1IYW9,poplar spring school
OG9I6,poplar spring school
QH295,robert h. prine elementary school
7BDB9,project school
EACEJ,red head school
KHSA8,redland school
OD6F5,richardson high school
KYZO7,rimes school
OTTGW,rising school
5PKRW,rocky mount school
O3HFV,rogers junior high school
PGUMP,rollins college
GAEB1,roosevelt school
MEX0E,roosevelt school
12B38,rosenwald school
MA81Y,royal school
34IBK,sabal palm school
E14LA,sacred heart academy
D7M2G,sacred heart convent
JQW2O,sacred heart school
XFEWB,sacred heart school
OUPSO,west 14th street
QTFXA,saint anthony school
I8C8X,saint anthonys school
QQWL0,saint brendan school
XM62R,saint cecelias school
SH4ED,saint clements school
E3E3U,saint colemans school
RBCFR,saint elizabeths school
QBRX1,saint francis xavier school
YXIID,saint gregory school
E0R29,saint holmes school
DRHKN,saint james school
8AHG9,saint james school
G81KV,saint james school
ZQCYI,saint jeromes school
B372U,saint joan of arc school
2TJNI,saint john the evangelist catholic school
2DB7D,saint josephs academy
HAAC5,saint josephs school
9L5CB,saint josephs school
B3QC7,saint josephs school
C7QXC,saint jude school
ASUNG,saint lawrence school
0QOMG,saint marks school
7TQGV,sarasota military academy
OANGX,saint marys school
NYDJP,saint marys school
O4DZN,saint michaels school
VIQEJ,saint monicas school
UDP8E,saint patricks school
R1KSF,saint patricks school
L7G9Z,saint paul school
QZES3,saint pauls school
4CTL2,saint peters school
UUO8V,saint rilla school
X6PND,saint stephens school
M8THJ,saint thomas aquinas high school
MKEXR,saint thomas more school
YOG8G,saints peter
CTEPX,san pablo school
ZRFFA,san pablo school
B2SXQ,sand hill school
PHKPA,sand ridge school
1XP17,sanders memorial school
MF078,sanibel school
Q6J69,santa clara school
1DEV8,santa fe high school
XHH83,sarasota christian
B7XZI,sarasota county technical institute
Y8VCM,school number 2
A0VEV,seminole school
DC8UY,shadowlawn school
Y31YV,shady grove school
2H8PC,shady oak school
LTA7U,shelton college
5H8VQ,shiloh school
SRRY5,shiloh school
QW4CZ,silver bluff school
HSX4F,silver lake school
K43NT,skycrest school
7PL5L,south seminole middle school
U5X6C,south winter haven school
WMY2I,southeast high school
HGEOB,southside junior high school
5QBZ1,coral way school
LA2CS,southside school
VBJVD,southside school
R0HEB,southside school
J9ZX7,southside school
H79K6,springfield school
TWXP6,stanton school
G3EQB,strickland school
DFN25,summerfield school
UYPAI,summerlain academy
RL6IR,sun school
6CF26,sunset elementary school
GJ38X,sylvania school
UYG0U,t dewitt taylor middle/high school
JS4QC,technical high school
LQ1L7,tedder school
4EVS6,525
5L8C3,titusville high school
91UK5,trapnell school
UVCPE,trinity academy
AH7V7,twin lake school
N7J5Y,union academy
C6UM9,union grove school
0ZOL3,union hill school
M07Y4,union school
2SLJV,union school
2B2SI,university of florida agricultural experimental farm
W1V1W,universty of florida experimental station
OD4BO,university of florida field laboratory
N5KUP,university of florida agricultural experimental station
KCF94,university of florida agricultural research center
9RQLT,university of florida experimental station
88IGB,university of miami
AL9EO,visitation school
ZQYYJ,walton road
R7TE8,ward school
079LY,water oak school
RXX11,webster school
8E9IE,welaunee school
6QFB6,west central school
ZCD2V,west little river school
IDZFW,westside school
JYH6J,westside school
TNU54,westside school
SGJGC,westview junior high school
7XV29,westview school
45NM9,westwood heights elementary
V8HMT,wheatley school
R6O2J,vann academy
JKMU8,zellwood elementary school
33ELM,miami northwestern senior high school
IHQJI,thena crowler elementary school
ZAY33,thena crowler elementary school
NM26B,miami country day school
0BQ2U,miami preparatory school
7NJY8,montessori school
O1VQT,yahweh education center
WWBE5,saint patricks school
SQ7S2,holtz high school
C0PKW,champagnat catholic school
CC45D,miami aerospace academy
LFEJC,pan american institute
ALNVP,jose marti school
D90A5,saints peter and paul school
V5RYG,grace school
FWQGW,sunrise school
C9GQW,goulds school
DS1L8,nazarene school
LSC5C,homestead junior academy
MCILT,cooper educational center
8YG2W,florida city christian school
87WUY,university of florida state experimental farm
ZVETQ,howey academy
EJW08,oak hill school
3YTLE,edward waters university
TLFE3,out of door school
9CYY2,surfside elementary school
9VFOZ,spessard l holland elementary school
LZH31,sea park elementary school
7DEVM,satellite high school
N5SHD,delaura junior high school
F4MDH,stone middle school
QAEBX,melbourne high school
378YG,indiatlantic elementary school
EH1RK,herbert c hoover junior high school
GO78G,university park elementary school
T1N7K,harbor city elementary school
BMEO6,(former central junior high school)
YS16E,sherwood elementary school
841GY,doctor w j creel elementary school
X1JLW,saturn elementary school
UY5KS,fairglen elementary school
S5SBO,lewis carroll elementary school
YDTQ9,robert louis stevenson elementary school of the arts
STU8Y,audubon elementary school
KT0OC,cocoa high school
IDDIN,clearlake middle school
26MWP,cambridge elementary school
03F5O,ronald mcnair middle school
W5CO0,pineda elementary school
YIAN4,tropical elementary school
F37ZY,thomas jefferson junior high school
NEIXV,mila elementary school
XBE4P,edgewood junior senior high school
NXCK9,golfview elementary school
U3A39,central pine grove school
9D5BT,normandy school
BBLPM,pinewood elementary school
WT0DK,mims elementary school
UIBCU,south lake elementary school
MS38Q,andrew jackson middle school
FD6MW,westside elementary school
9D1QT,macclenny elementary school
Z7XN0,baker county middle school
TLOMU,baker county adult center
L0S2T,exceptional education center
GLVF9,margaret k lewis exceptional education center
35PNL,a d harris sixth grade center
HGMSZ,waldo community school
SUD6U,chester shell elementary school
D16ZY,newberry elementary school
PEMYP,north florida juvenile detention center
YLCKL,coquina elementary school
OITKM,riverview elementary school
N9YWX,imperial estates elementary school
JVDE7,apollo elementary school
TC40W,downtown adult center
28JPJ,vocational
4Q70S,sabal palm elementary school
CVX3V,exceptional/student-off campus
K2HXV,broward fire academy
P2B6M,south area alternative center
WKXPW,hallandale adult and community center
EJ806,mary m bethune elementary school
1OHDJ,hollywood central elementary school
P72IC,carver ranches center
JJ97M,d d eisenhower elementary school
BKFR3,nova middle school
T132U,nova high school
XIL5G,seagull school
5YLAV,pompano beach institute of international studies
D39LK,pompano beach elementary school
G9HHL,tedder elementary school
8ETFC,park ridge elementary school
SD3RD,dillard elementary school
DV88P,windgate oaks center
VWBM5,lauderhill paul turner elementary school
GH9M5,northwest 29th avenue
0PS4L,northwest 29th avenue
HNSGE,north point school
SUPRZ,coconut creek elementary school
9AW5Y,withlacoochee area vocational-technical center
2L7T6,inverness middle school
Q9CIC,inverness primary school
CE4BA,i m t learning center
IB6M0,citrus county adult community program
DH54Q,marine science station
307OP,sallie jones elementary school
IUYCU,punta gorda junior high school
HNQL2,altha public school
0GKNV,blountstown senior high school
Z0F3A,calhoun county education center
602RA,poinciana elementary school
2DVOI,pine ridge middle school
Y5MLA,pinecrest elementary school
576VP,immokalee middle school
GBES1,highlands elementary school
G71EG,bethune education center
129N3,lake trafford elementary school
2H05Q,hampton elementary school
M851Q,brooker elementary school
PABRN,southside elementary school
CP5YJ,bradford union vocational-technical
Q5ZNC,keystone heights elementary school
RJ68W,montclair elementary school
CX9Q7,clay county center for community education
4RN8A,green cove springs elementary school
568FS,learning resource center
RMMHE,lakeview school
Q30NF,bay harbor elementary school
AOHDW,opa-locka elementary school
679OQ,kindergarden center school
798CX,miami jackson senior high school
6KMM8,coral gables elementary school
K6F7C,merrick special education center
OS71N,kinloch park elementary school
4MP7T,richmond heights junior high school
NAE75,ludlam elementary school
XTOF4,n k cooper special education center
5UKY0,redondo elementary school
D5LT9,leisure city elementary school
1FD2V,perrine elementary school
L4FC7,redland junior high school
5POAY,south miami heights elementary school
6T50F,south cope center
2TVJ7,miami-douglas macarthur high school north
UTILU,martin luther king elementary school
GFNCH,educational alternative program
P66G4,citrus grove occupational training center
KLRDQ,north cope center
UMNQ9,george t baker aviation school
4339Y,home/hospital instructional program
HZ3UN,escambia juvenile detention school
MX1QT,lakeview center
QIYRW,neptune beach elementary school
FJNYP,palm avenue exceptional child center
A5PN9,youth development program
PUTWE,adolescent residential treatment
4GXGI,alden road exceptional center
TGR8J,southside skills center
BEN65,southside estates elementary school
A19ZE,dixie county adult center
15RSB,nocatee elementary school
0FZ7R,desoto county adult education center
I4HQD,desoto correctional institute of adult education
C80F8,desoto start center
J53VX,alternative education center
1HA1J,south dade skill center
NRVUB,frances s tucker elementary school
ESN61,gloria floyd elementary school
T2R8N,coral way elementary school
X9WES,robinson elementary school
B40RX,cork elementary school
CN4RS,knights elementary school
T14F9,pinecrest elementary school
KV4QP,eisenhower junior high school
T2UKN,east bay high school
A0FXO,buckhorn elementary school
MCCFH,dover elementary school
9B1IW,natures classroom
ZDTZO,dowdell junior high school
PB5IJ,brooker elementary school
7TEAU,mango elementary school
WS5WV,lockhart elementary school
1KVPN,young junior high school
5U5R4,james elementary school
SXGFD,colman junior high school
BL270,highlands county achievement center
P2Y2Q,south florida state college
O8Y2J,powell middle school
GJTMO,eastside elementary school
H23K0,moton elementary school
MYOAI,hernando county adult and community education
BO9NV,frank w springstead high school
QAIR5,spring hill elementary school
6VGF0,westside elementary school
IBTZG,west hernando junior high school
90UIR,clewiston primary school
MYS1A,clewiston community school
0U0Z5,clewiston intermediate school
GACVH,daniels school
PPBFA,labelle community school
ZWMTP,edward a. upthegrove elementary school
X8KJF,bowling green elementary school
WXT68,hardee county community education center
FNHC6,hamilton middle school
8XR95,greenwood elementary school
XCL9I,central hamilton elementary school
ER0SR,hamilton county high school complex
S0CU9,hamilton vocational technical school
AB2I4,north hamilton elementary school
7DJBS,port saint joe elementary school
K1ZZX,gulf county adult school
AHJW1,wewahitchka junior-senior high school
L5P4A,moore haven junior-senior high school
KTLQQ,moore haven adult education center
L7RU0,trenton middle-high school
FS5DO,gilchrist adult education
R0AU8,franklin county adult school
25SPW,byrneville elementary school
47SYQ,bratt elementary school
HE2Z3,pensacola boys base
S3KAM,escambia westgate center
4748Z,pleasant grove elementary school
4E61V,florida mental health institute
75L6E,erwin area vocational technical center
8K6NV,robinson high school
VNTTU,bellamy elementary school
CABDP,gaither high school
UF0G0,claywell elementary school
EGK7C,sulphur springs elementary school
F2I9B,robles elementary school
8VYSZ,van buren junior high school
3MJ5V,temple terrace elementary school
K2L5B,shaw elementary school
G3B1I,forest hills elementary school
XBD56,carrollwood elementary school
LOZ28,miles elementary school
0GCLR,buchanan middle school
I02BG,eastern florida state college
UG21N,oak park elementary school
6EH0W,fruitland park elementary school
59C1M,midway elementary school
UGV9N,clermont junior high school
9KE3H,minneola elementary school
7ES1Y,mount dora high school
I6RWI,mount dora middle school
FOUFM,lake hills school
MRD3N,lymnology lab
0B4A0,eustis elementary school
UGH9M,pine hills elementary school
J0EU5,wymore career education center
WARQ5,lake weston elementary school
5TNEY,lockhart middle school
3Z2NH,lockhart elementary school
3MR96,cheney elementary school
5QY8K,shenandoah elementary school
KZTIG,pershing elementary school
Y4EDW,sadler elementary school
RGTIZ,ocoee middle school
G7949,ocoee elementary school
SS9DQ,westside vocational-technical center
N1LP2,tildenville elementary school
U7GEC,north elementary school
3OLKS,okeechobee school board office
6LHB0,okeechobee high school freshman campus
TK9TC,laurel hill school
2VNVE,addie r lewis junior high school
ZCGXR,callahan middle school
0TSKA,bryceville elementary school
HOGIZ,plantation key elementary school
ACSVY,south fork high school
JZ2J6,martin county adult center
QZ0ZF,community education center
UX66O,phoenix school
M2MC0,dunnellon middle school
7XEP6,dunnellon elementary school
UTZTC,duette elementary school
NRUR9,william h bashaw elementary school
WB01W,martha b king middle school
S1IIF,sara scott harllee middle school
OCUDW,oneco elementary school
TO5EI,w d sugg middle school
TOQB4,samoset elementary school
W054V,palma sola elementary school
03Z9M,anna maria elementary school
BT1YB,blackburn elementary school
YQZVZ,james tillman elementary school
XMN3B,myakka city elementary school
CINOI,madison county high school
D1H5H,madison primary school
WI1VL,madison county middle school
ZUHCI,greenville primary school
UIPN0,pinetta junior high school
CJ3F1,buckingham exceptional student center
FQLAY,3800
CXCJ5,lee middle school
CVGEE,lee county alternative learning center
2T07F,cape elementary school
9E0S8,pelican elementary school
RNYSF,caloosa elementary-middle school
05LYH,suncoast middle school
TQWB1,suncoast elementary school
1OF0K,fort myers middle school
65TMO,alva elementary school
RBCWQ,alva middle school
ZHD88,bonita springs middle school
MI3LY,spring creek elementary school
3RHNG,lehigh acres middle school
SF1QE,jefferson county elementary school-mamie scott annex
KF0CN,jefferson county adult center
1QCTD,riverside elementary school
DN5XF,jackson county adult education division
IIXKU,marianna high school
4FLBO,marianna middle school
G3UC8,cottondale high school
9TQT1,cottondale elementary school
CRU8K,graceville high school
N3DBW,alford elementary school
QZ4YF,malone high school
7IHFL,hillcrest special education school
I8N7B,holmes county high school
LJ2LN,holmes county adult education school
467LT,bonifay elementary school
G81DT,tri-county head start
G3KS6,ponce de leon high school
MIUAJ,ponce de leon elementary school
42CPY,boggy creek elementary school
NMBUC,osceola high school
K2VJ3,beaumont middle school;osceola high school
ONK3X,thacker avenue elementary school
EPLDM,liberty middle school
9X2ZV,palmetto elementary school
JUFTT,winter park adult vocational center
8CZZ5,catalina elementary school
YCZUT,lake sybelia elementary school
T7F8B,dommerich elementary school
SB9LY,windermere elementary school
RL3K3,maxey elementary school
K1KO5,oak hill elementary school
4I824,orlo vista elementary school
032FX,pahokee elementary school
V9HMV,canal point elementary school
PRZK8,west technical education center
D1TUE,lacoochee elementary school
4R9NB,boca raton elementary school
KYKLE,whispering pines elementary school
G3Z7Q,verde elementary school
MJKIP,south technical education center
B6WWF,lake worth junior high school
CXSOW,palm springs elementary school
L0NCO,moon lake elementary school
9WC86,gulfview junior high school
WM8JZ,north technical education center
9SMN3,riviera beach elementary school
F2JTZ,oldsmar elementary school
O92TN,dunedin elementary school
WNYTJ,highpoint elementary school
3QGS7,pinellas vocational technical institute
WMDL3,oak grove middle school
JJ1LT,eisenhower elementary school
NERK8,paul b stephens exceptional student education center
1W8QD,safety harbor elementary school
4MC8N,mirror lake/tomlinson adult education center
7NREV,lynch elementary school
