id_centros_entretenimiento,centros_entretenimiento
B5B0U,westside aquarium  pets
1IFM8,ghost party haunted tours
S50YZ,leeparattner museum of art
XJHL0,imagine museum
V6JX4,mustang flea market
SFLXY,north shore aquatic center
D9TRQ,a tropical reef
7AXQK,bonsai koi ponds
YECHA,fairgrounds st pete
C0V2N,Titusville Mall
8TIMH,Landmark Shopping Center
BFE4V,LandMark Plaza
UTCA6,Manatee County
RKNC8,CocoWalk
APOPF,RK Village Plaza - Raanan Katz Shopping Center
A1ZL8,Legacy Place
WU2FU,Market Street At Heath Brook
NTU2O,Palm Beach Outlet
E8IF3,Tin City
0WUZ6,Orlando International Premium Outlet
PZMQV,European Village
L1V2I,The Grove Shoppes
VU38H,The UPS Store #6657
0W4K2,Anchor Shops & Parking
6K0PZ,Homestead Towne Square
SVHRY,Miami Design District
XLGNY,Lincoln Center
H0WC5,Wellington Mall
5G8QK,Shout Supermarket
AFTEV,Chiefland Regional Shopping Center
BZLDC,Upper Buena Vista
UUTB1,ONE DAYTONA
7JPE4,Thrift Life
0M1FG,Natural Food Market Place
0E99V,The Village at Hunter's Lake
RV1AH,Fashion Square Mall
K5MGL,Plaza 800
2JGG6,Shoppes of Winder Oaks
TJES9,Concorde Plaza
JXRVY,Southgate Shopping Center
X12YY,Glengary Shoppes
FNWUR,Crestwood Square
CZ5R3,Middleton Downtown
RH5HL,Shoppes at Paradise Pointe
SCDKU,Perry Plaza
FR08K,Sparkman Wharf
SZH0F,University Mall
BWLLY,DeSoto Square Mall
J9Z97,Brandon Town Center Drive
M2OJM,Winn-Dixie
I7FHX,Lakeview Plaza
A4482,Rutland Plaza
IQSDN,Dezerland Park Orlando
HMZ4L,The Mall at Millenia
GD09M,Old Boynton Road
BSEHM,Old Boynton Road
TPEEI,The Mall at Wellington Green
S7MDE,Miami International Mall
PVJ8T,Treasure Coast Square Mall
LEG59,Aleena Diamonds
SLXJ1,Westfield Citrus Park
F0BOW,Kings Highway
MNZIW,CMX Dolphin 19 & IMAX
3BKFT,The Shops at Wiregrass
YMZZZ,East Towne Center
8AS1F,The Gardens Mall
MQ5TD,Lakeland Square Mall
HDUPM,The Florida Mall
25SSL,Mobilezone
I42H5,Sweets Plaza
RQNPD,Publix
LNX58,Banana Republic
KE4XA,Lakeshore Mall
9H0SD,Shopping Plaza
EN2NH,Shopping Plaza
PJOOD,Shopping Plaza
F8LH5,Aventura Mall
572AF,Titusville Mall
XW6TF,The Oaks Mall
CNXKG,Live Oak Avenue
3TSQ9,US 27
XZVZW,Tyrone Square Mall
I65IF,Lake Square Mall
13URZ,Port Charlotte Town Center
29E9R,Pinellas Park Square
QFH0G,Mama Rosa's
NTWSV,Merritt Square Mall
97RQF,Belk
EKE1P,I 75
M6AL4,Factory Shops Boulevard
T8F28,Factory Shops Boulevard
KNXJU,I 75
BPU3T,I 75
UGWBI,Factory Shops Boulevard
6O2VQ,Southwest 139th Avenue
WRR64,Seminole Mall
JE21Y,Countryside Mall
0T8V4,Avecina Urgent Care Clinic
HT6PF,Argyle Family Dentistry
M151C,Merchants Gate Drive
ITYL9,Endless Tan
GV0WT,Merchants Gate Drive
I1PO0,Crosshill Blvd
3FA4P,Argyle Forest Boulevard
4F35N,GNC
04GTW,Barber Shop
JPA0N,Crosshill Blvd
4W1MP,Old Middleburg Road South
MXPNW,Merchants Gate Drive
KR219,Justice
WBGSL,Crosshill Blvd
RE77F,Crosshill Blvd
Y1PTI,Crosshill Blvd
385QY,Crosshill Blvd
T5LSN,Dollar Tree
81T7X,Superior Plaza
32EF1,9680
556GV,US 98;US 319
NFR07,Bal Harbour Shops
JB29O,Seminole Towne Center
N0CVB,Heritage Walk
R2CKV,Saint George's Row
SKO11,Wellington Mall
NOVS5,Grande Boulevard
Z6YLI,Eagle Ridge Drive
58EKO,Worth Avenue
7YK4E,Thacker Avenue
14B49,Santa Rosa Mall
ZM83D,Avenue G Southwest
VXEDC,Mall of the Americas
S4I7Q,Hunters Oak Drive
ADAN2,Promenade Square Drive
4CGI5,Hammocks Boulevard
UCUR4,Southwest 169th Court
E50RC,Higate Square
1UZPY,Great Clips TJ Maxx Plaza
VQ4GE,Southwest 42nd Street
VEZEK,Panda Express
881MZ,Southwest 134th Avenue
CLAIZ,Winn-Dixie
DG8XV,Skylake Mall
WVU8E,Champion Plaza
Z8L2N,Northeast 163rd Street
5T0YR,13565
YU2X9,Grand Regency Boulevard
R372Q,Shops at Merrick Park
JSZXP,Mattress Firm
BN40A,Steele Street
ZZVPN,Spencer Drive
T0KF5,3913
A3QHQ,Publix
Z4JUT,Palm Drive
ET32H,Sarasota Square Mall
PE98R,Bliss Salon
QKRY5,Landings Boulevard
EJW95,Westfield Siesta Key
NZVYP,East Hillsborough Avenue
KMV8K,Hillsboro Plaza
W20O4,Sharon Drive
ESRKF,Plantation Square
D4E9L,dd's Discounts
0MAOT,Armstrong Boulevard
8RCRH,Westgate Plaza
EFWT8,US 27
AEC2V,Woodstock Drive
K7NSC,Southchase Village
L7P70,Bluffs Square Shoppes
DNHPT,I 95
LQ4J3,Colonial Promenade
0E18D,6000
MKVI2,Mall at University Town Center
BZ09B,Paragon Ocean Walk 10
4DGAZ,Colony Square Drive
BMC3Q,Colony Boulevard
UEYO9,Philips Highway
XITTY,Volusia Mall
GV5PX,Broadway's
VRKOP,415
1TF0V,Hopewell Avenue
MSNYM,East Alexander Street
9YL4O,James L Redman Parkway
ECZV3,East Alexander Street
W1FFA,James L Redman Parkway
4HTX1,Today's Male
UZHSG,Sunset Harbour Shops
J2JA4,James L Redman Parkway
1JHYE,Southwest 89th Lane
BVQ1H,Gulf View Square Mall
BC6D0,Cordova Mall
34W2U,Bartow Shopping Center
OLH7T,Century 21
V2SN1,Brandon Center
GPNHV,Clayton Mall
BFP8V,West Langford Drive
GROWT,Tampa Premium Outlets
N9MN3,Okeechobee Boulevard
UVKXJ,Westland Mall
JM1JC,Ultramont Mall
VO2M9,B&B Joint
X5LKE,West 1st Avenue
K5NCV,Uleta Plaza
1LATS,Lincoln Road Mall
AJ3VF,Canton Avenue
2NSQF,430
6M031,Indian River Mall
H9S16,Southwest 91st Court
FKJZF,Southwest 136th Street
CG4E3,Southwest 135th Terrace
XJNCX,Sunshine Park Mall
JBUXB,Centre of Tallahassee
JI8JM,Altamonte Mall
DWF34,Palm Plaza
9WUAW,Tommy Hilfiger
MJIMI,Mattress Firm
DPV01,Southwest 120th Street
RLUSZ,TJ Max
N99XG,Community Drive
WYSPJ,Old Military Trail
VPJRX,South Chillingworth Drive
49SKD,Frank Street
PBDGF,The Big Apple Shopping Bazaar
SOS0D,Indian Rocks Road
X22UH,Murdock Plaza
8JNKT,Quesada Avenue
1XFVA,5th Street Southwest
C73OB,Governor's Square Mall
N4UON,West Griflow Street
4HPOV,3878
GRLAQ,East Fowler Avenue
QL042,Providence Road
53A0D,Tamiami Trail South
IY6S8,Immokalee Road
OXP5C,International Plaza and Bay Street
35OQ2,International Plaza and Bay Street
39KDL,Corkscrew Village Lane
N5KRM,West Terry Street
2PN3B,93rd Avenue North
RAVKX,94th Avenue North
YEVT6,Lake City Mall
90POR,Publix Liquors
LJTGP,Lake Gray Boulevard
HNMZ3,Lake Gray Boulevard
SHAMZ,26th Street West
E33OB,Lee's Alterations
I5A88,Legendary Drive
73KHN,Forsyth Road
MIPQ4,Iglesia Cristiana lel Rebano
A6H1Q,West Lancaster Road
SK3O4,Pino Gelato Cafe
ZNXHK,Patrol Road
7OOL3,Plaza del Sol
Y6VBA,Sevilla Plaza
9BTS0,Sand Lake Road
KVPO8,Sand Lake Road
F56E9,Sand Lake Road
GWMMF,Sand Lake Road
DY3CF,Sand Lake Road
XU7XZ,Sand Lake Road
QV8RS,Sand Lake Road
ITD5Z,Maud Street
M5RQX,Maud Street
D1FP7,Maud Street
O8901,University Village Shops
L19IY,Aventura Mall
JJ6WS,Wekiwa Springs Road
DXA7Q,Westshore Plaza Mall
KNQHC,Orlando Avenue
2N53U,Orlando Avenue
X6RJ0,Webster Avenue
LO61H,Orlando Avenue
J7LZX,Orlando Avenue
R1C2O,Orlando Avenue
ZQZZH,Beachview Avenue
FGCXY,Southwest 135th Terrace
ZQQYY,Southwest 135th Terrace
200OW,Town Square Center
14IZC,Hudson
CJ4KI,Kingston Drive East
U3ANC,Kingston Drive East
JO3KM,Village Square Shopping Center
1G4ZA,Homestead Station
AO2A9,The Lighthouse Shoppes
HIIPF,South Valrico Road
UBN33,Mirror Terrace Northwest
V1TSS,Freeway Insurance
14WES,KWIK Tax Refund
TD2GQ,Southeast Plaza
EUDSA,Brickell Smoke Shop
GD3Q2,Publix
FWOXB,Federal Highway
6E6MD,Post Avenue Southwest
2D4UF,Avenue O Southwest
B659V,Grove Avenue
ZAIUP,17th Street
FAUYZ,Ocooee Plaza
ARVQ6,McDonald Terrace
NEVTW,Poinsettia Drive
QLLE3,East Edgewood Drive
L8DEV,Reynolds Street
HS5U2,Palm Beach Boulevard
QR7AX,Palm Beach Boulevard
Y65NV,Palm Beach Boulevard
E4R66,Palm Beach Boulevard
WOCZW,Pierre Lane
OFPH8,Market Square
HHR4R,North Parsons Plaza
DVSEG,ALDI
PPX03,Brooks Street
KFFK0,Publix
9ATEW,ALDI
KR8AK,Mason Avenue
DKKO1,Crystal River Mall
J27VM,8th Avenue Drive West
NWF1V,39th Street West
6PHMF,Bayou Plaza
TKLK1,SoMo Walls
AK5O3,Foot Solutions
HCVZ5,Alpine Center
7WBS5,Florida Keys Outlet Center
ZNSVR,American Eagle Outfitters
1YKFJ,Southwest 58th Avenue
0HM6V,Dyer Boulevard
DGR68,Sand Lake Road
19BV7,Sand Lake Road
ZRAH5,300
DXD4Q,Peachland Boulevard
HUFGI,Quesada Avenue
4UGOY,Heritage Plaza
QX4P7,Tamiami Trail
BSS96,International Plaza and Bay Street
QJI53,Tour Boat Boarding
OJBW8,Titusville Mall
P9PQU,Landmark Shopping Center
VAZ10,LandMark Plaza
DUMHQ,Manatee County
5BP9Q,CocoWalk
MQJ0T,RK Village Plaza - Raanan Katz Shopping Center
PUILQ,Legacy Place
76NXW,Market Street At Heath Brook
G6LOM,Palm Beach Outlet
KS4OU,Tin City
WEU9S,Orlando International Premium Outlet
VH9IL,European Village
C9CH0,The Grove Shoppes
GHN7G,The UPS Store #6657
HPE5B,Anchor Shops & Parking
42P4N,Homestead Towne Square
EJRHL,Miami Design District
ALPTM,Lincoln Center
GX8AQ,Wellington Mall
2ZRWG,Shout Supermarket
BG38X,Chiefland Regional Shopping Center
DGYOB,Upper Buena Vista
4KC23,ONE DAYTONA
86R9X,Thrift Life
WRH7F,Natural Food Market Place
MQVIG,The Village at Hunter's Lake
T05Y6,Fashion Square Mall
OLDCK,Plaza 800
MDTVO,Shoppes of Winder Oaks
2EC6G,Concorde Plaza
PWSIT,Southgate Shopping Center
9GZI2,Glengary Shoppes
ERBK8,Crestwood Square
94XWQ,Middleton Downtown
AEIGG,Shoppes at Paradise Pointe
09UP8,Perry Plaza
EW18J,Sparkman Wharf
GGF6D,University Mall
ARGXR,DeSoto Square Mall
6QSKM,Brandon Town Center Drive
MAIJT,Winn-Dixie
HIDZC,Lakeview Plaza
9KTNF,Rutland Plaza
UPDPK,Dezerland Park Orlando
UCT95,The Mall at Millenia
WHHAX,Old Boynton Road
AX0EA,Old Boynton Road
WXB49,The Mall at Wellington Green
S4VAP,Miami International Mall
76P5S,Treasure Coast Square Mall
OEAU9,Aleena Diamonds
ZCK69,Westfield Citrus Park
8KTDC,Kings Highway
W9A9Z,CMX Dolphin 19 & IMAX
5A8FD,The Shops at Wiregrass
YRBXI,East Towne Center
KT91A,The Gardens Mall
WRZQ5,Lakeland Square Mall
EYN0U,The Florida Mall
IO8EX,Mobilezone
G0Q4W,Sweets Plaza
XCVQL,Publix
3H1JA,Banana Republic
OBPGV,Lakeshore Mall
0CAS7,Shopping Plaza
0QLFE,Shopping Plaza
OAAEW,Shopping Plaza
NF7ZP,Aventura Mall
4QWIW,Titusville Mall
87NN2,The Oaks Mall
PNS4K,Live Oak Avenue
5H4TV,US 27
SCPBR,Tyrone Square Mall
YWW1Y,Lake Square Mall
CPMAJ,Port Charlotte Town Center
O69QO,Pinellas Park Square
RSCWI,Mama Rosa's
JLPVC,Merritt Square Mall
SO98J,Belk
F8CYM,I 75
4D1MV,Factory Shops Boulevard
5POTB,Factory Shops Boulevard
9TTK9,I 75
AMN9P,I 75
2WKAV,Factory Shops Boulevard
O830R,Southwest 139th Avenue
L7LI8,Seminole Mall
25OYU,Countryside Mall
8TBJI,Avecina Urgent Care Clinic
J2GKA,Argyle Family Dentistry
F7OBR,Merchants Gate Drive
0TAQH,Endless Tan
OXK43,Merchants Gate Drive
P1ALY,Crosshill Blvd
1R4GM,Argyle Forest Boulevard
B59M7,GNC
SLMEY,Barber Shop
H37TU,Crosshill Blvd
U1TG2,Old Middleburg Road South
B980D,Merchants Gate Drive
6E9HI,Justice
Z5TII,Crosshill Blvd
8J73W,Crosshill Blvd
KG7AV,Crosshill Blvd
G0IMS,Crosshill Blvd
PMM7X,Dollar Tree
I8GEI,Superior Plaza
D5XJ7,9680
W8NJK,US 98;US 319
R4S91,Bal Harbour Shops
LS2N2,Seminole Towne Center
A9F7I,Heritage Walk
INXGD,Saint George's Row
QGXL1,Wellington Mall
OB2QM,Grande Boulevard
1Z76X,Eagle Ridge Drive
UNPWO,Worth Avenue
ADOQG,Thacker Avenue
OJHKU,Santa Rosa Mall
YPEIW,Avenue G Southwest
L9IB7,Mall of the Americas
N0QC0,Hunters Oak Drive
JSW58,Promenade Square Drive
XFA27,Hammocks Boulevard
M9P6F,Southwest 169th Court
DQP1Q,Higate Square
QVBRH,Great Clips TJ Maxx Plaza
REES8,Southwest 42nd Street
OPM02,Panda Express
SURZE,Southwest 134th Avenue
UUFX6,Winn-Dixie
OAUVJ,Skylake Mall
QCCUQ,Bed Bath & Beyond
TXJNZ,Northeast 163rd Street
B2VM9,13565
K26ZD,Grand Regency Boulevard
H9ECZ,Shops at Merrick Park
OIZBN,Mattress Firm
JTKG9,Steele Street
NA4RQ,Spencer Drive
4LJLY,3913
FH74W,Publix
MJ124,Palm Drive
HOOMI,Sarasota Square Mall
Y3U9G,Bliss Salon
ZNKYU,Landings Boulevard
TYKCE,Westfield Siesta Key
9F56E,East Hillsborough Avenue
PI6AW,Hillsboro Plaza
8B14C,Sharon Drive
SQHSH,Plantation Square
MAGPW,dd's Discounts
12G73,Armstrong Boulevard
8HSYD,Westgate Plaza
WMM3H,US 27
WXFL3,Woodstock Drive
JWQ4Q,Southchase Village
L3HQO,Bluffs Square Shoppes
26FGT,I 95
N6ZUT,Colonial Promenade
J789U,6000
G2OFF,Mall at University Town Center
CRGAH,Paragon Ocean Walk 10
SQ6NF,Colony Square Drive
HYPDV,Colony Boulevard
XI1WJ,Philips Highway
4WAAG,Volusia Mall
F2CQI,Broadway's
HR11V,415
61YVG,Hopewell Avenue
TJE07,East Alexander Street
NGBIX,James L Redman Parkway
I2JPQ,East Alexander Street
Z8A8C,James L Redman Parkway
3LI3T,Today's Male
DS8NU,Sunset Harbour Shops
YQQJK,James L Redman Parkway
IRHXI,Southwest 89th Lane
WAHAX,Gulf View Square Mall
UGRWZ,Cordova Mall
7CW4M,Bartow Shopping Center
Y3VQD,Century 21
ZSM68,Brandon Center
QM5XB,Clayton Mall
Y11W1,West Langford Drive
MOZ6Z,Tampa Premium Outlets
UBSCZ,Okeechobee Boulevard
54AI9,Westland Mall
LQ32H,Ultramont Mall
ILLRD,B&B Joint
92CVC,West 1st Avenue
XW8D9,Uleta Plaza
B2RZ6,Lincoln Road Mall
JPF0C,Canton Avenue
4C4X6,430
C6LS7,Indian River Mall
3Z5F0,Southwest 91st Court
56IYM,Southwest 136th Street
YOBXB,Southwest 135th Terrace
ZO6QK,Sunshine Park Mall
M2GKV,Centre of Tallahassee
SM0KT,Altamonte Mall
3UD13,Palm Plaza
0OB29,Tommy Hilfiger
AS0HA,Mattress Firm
8HMQR,Southwest 120th Street
8O7V1,TJ Max
CLH3V,Community Drive
JFOX4,Old Military Trail
XDITY,South Chillingworth Drive
H6I3Q,Frank Street
X3OBZ,The Big Apple Shopping Bazaar
A02TJ,Indian Rocks Road
TSF0Y,Murdock Plaza
7CGMB,Quesada Avenue
5I1N9,5th Street Southwest
GDPSL,Governor's Square Mall
Z0CQJ,West Griflow Street
BRJ5H,3878
AWOF9,East Fowler Avenue
NR807,Providence Road
W5KNI,Tamiami Trail South
DA6U1,Immokalee Road
XQVIH,International Plaza and Bay Street
4G973,International Plaza and Bay Street
20BU8,Corkscrew Village Lane
D9DE4,West Terry Street
YSVTK,93rd Avenue North
T22Q1,94th Avenue North
M1PEC,Lake City Mall
HQFO0,Publix Liquors
11MDJ,Lake Gray Boulevard
LA8O8,Lake Gray Boulevard
H1ZM3,26th Street West
7HG35,Lee's Alterations
FNV9W,Legendary Drive
2CJM3,Forsyth Road
PSHO3,Iglesia Cristiana lel Rebano
78D9P,West Lancaster Road
7KQDW,Pino Gelato Cafe
TA9HV,Patrol Road
H6F1B,Plaza del Sol
E5MWA,Sevilla Plaza
IAOGT,Sand Lake Road
HHLD8,Sand Lake Road
H1FBA,Sand Lake Road
RCOFG,Sand Lake Road
NYXS1,Sand Lake Road
85MMO,Sand Lake Road
J63AU,Sand Lake Road
834ZU,Maud Street
XHPCW,Maud Street
KQC65,Maud Street
BYYG8,University Village Shops
OBGF0,Aventura Mall
F70K8,Wekiwa Springs Road
IP7XA,Westshore Plaza Mall
INMCY,Orlando Avenue
GAD3P,Orlando Avenue
JY0CB,Webster Avenue
C6ISV,Orlando Avenue
UTEYE,Orlando Avenue
9KFYX,Orlando Avenue
HE4LC,Beachview Avenue
6AC3V,Southwest 135th Terrace
R30MV,Southwest 135th Terrace
6E664,Town Square Center
3G5SV,Hudson
KQQC4,Kingston Drive East
DINSX,Kingston Drive East
0T5ZJ,Village Square Shopping Center
Q4L1W,Homestead Station
6E4AR,The Lighthouse Shoppes
EMFZX,South Valrico Road
HF1Z0,Mirror Terrace Northwest
3Y3FL,Freeway Insurance
OKOIS,KWIK Tax Refund
YKVOV,Southeast Plaza
OHI1J,Brickell Smoke Shop
TZM81,Publix
C1F6R,Federal Highway
M34JK,Post Avenue Southwest
GJKYH,Avenue O Southwest
BW2N2,Grove Avenue
2HU5U,17th Street
1RLRU,Ocooee Plaza
9M4R2,McDonald Terrace
PK104,Poinsettia Drive
Y4UBU,East Edgewood Drive
D02OA,Reynolds Street
F4WYW,Palm Beach Boulevard
XYKDY,Palm Beach Boulevard
1AZRU,Palm Beach Boulevard
L105Y,Palm Beach Boulevard
9GKLS,Pierre Lane
ETX3Z,Market Square
M6Y8V,North Parsons Plaza
DJPD4,ALDI
78I26,Brooks Street
G0W1M,Publix
LOXDB,ALDI
LSY68,Mason Avenue
RAYXL,Crystal River Mall
9E10Z,8th Avenue Drive West
QXPI7,39th Street West
J38VY,Bayou Plaza
9HVJF,SoMo Walls
XS1Q1,Foot Solutions
SHV3S,Alpine Center
NXW51,Florida Keys Outlet Center
1UO2R,American Eagle Outfitters
E27SZ,Southwest 58th Avenue
TF8CJ,Dyer Boulevard
7MSI7,Sand Lake Road
LI9U1,Sand Lake Road
Q3CYH,300
T72H5,Peachland Boulevard
U303T,Quesada Avenue
XOYJL,Heritage Plaza
U1AOP,Tamiami Trail
VOXYG,International Plaza and Bay Street
55RQI,Tour Boat Boarding
X992N,Titusville Mall
LTH9R,Landmark Shopping Center
UYXLY,LandMark Plaza
NVCCP,Manatee County
VP671,CocoWalk
IWNTW,RK Village Plaza - Raanan Katz Shopping Center
KBL1V,Legacy Place
6WET7,Market Street At Heath Brook
ZP2D8,Palm Beach Outlet
G97U1,Tin City
VB7SF,Orlando International Premium Outlet
H5GYC,European Village
AB794,The Grove Shoppes
RPMRM,The UPS Store #6657
WMXL2,Anchor Shops & Parking
N3IUB,Homestead Towne Square
JRJL4,Miami Design District
4E4OP,Lincoln Center
N7GQB,Wellington Mall
V7G4K,Shout Supermarket
PENN1,Chiefland Regional Shopping Center
1HN90,Upper Buena Vista
RVKJG,ONE DAYTONA
HGTG7,Thrift Life
I7VDZ,Natural Food Market Place
5SMM4,The Village at Hunter's Lake
ZOOIA,Fashion Square Mall
TXJCT,Plaza 800
T998V,Shoppes of Winder Oaks
A826O,Concorde Plaza
U9NYH,Southgate Shopping Center
MPUO1,Glengary Shoppes
8Z1FM,Crestwood Square
3D8RE,Middleton Downtown
7BFA0,Shoppes at Paradise Pointe
EXJGI,Perry Plaza
EXBLY,Sparkman Wharf
11JZS,University Mall
66PVV,DeSoto Square Mall
X0L52,Brandon Town Center Drive
TOFOR,Winn-Dixie
07TE2,Lakeview Plaza
7CYZJ,Rutland Plaza
HGJRW,Dezerland Park Orlando
KX8RQ,The Mall at Millenia
CVVXI,Old Boynton Road
Z78VU,Old Boynton Road
7YQXR,The Mall at Wellington Green
6FT0K,Miami International Mall
6XDL5,Treasure Coast Square Mall
85OMU,Aleena Diamonds
SVI0I,Westfield Citrus Park
0CAKV,Kings Highway
GIXVN,CMX Dolphin 19 & IMAX
N3TIY,The Shops at Wiregrass
RKYYF,East Towne Center
CXXJG,The Gardens Mall
IG1B0,Lakeland Square Mall
8NSZ0,The Florida Mall
65DPH,Mobilezone
EUJCT,Sweets Plaza
GN8WF,Publix
5KS0V,Banana Republic
33E20,Lakeshore Mall
UFWKH,Shopping Plaza
LASA9,Shopping Plaza
5AT39,Shopping Plaza
JIX4O,Aventura Mall
PULQQ,Titusville Mall
5F9TY,The Oaks Mall
UUG9K,Live Oak Avenue
XY0XF,US 27
3BJ9T,Tyrone Square Mall
MVZ8Q,Lake Square Mall
POOTT,Port Charlotte Town Center
9W6O5,Pinellas Park Square
FUFOI,Mama Rosa's
NOCE1,Merritt Square Mall
2X2WN,Belk
I1XM4,I 75
9CHHB,Factory Shops Boulevard
CABJR,Factory Shops Boulevard
XCEKG,I 75
SHYRQ,I 75
PIOCT,Factory Shops Boulevard
DKBV5,Southwest 139th Avenue
WMTK2,Seminole Mall
2Z1CA,Countryside Mall
N8XS7,Avecina Urgent Care Clinic
K91C3,Crosshill Blvd
8FFJG,Crosshill Blvd
9CUXV,Old Middleburg Road South
PX9SZ,Merchants Gate Drive
GPRLK,Crosshill Blvd
19I09,Crosshill Blvd
ISRGO,Superior Plaza
F7Z88,9680
ECN4P,US 98;US 319
KHX1O,Bal Harbour Shops
8DEZH,Seminole Towne Center
IA7V2,Heritage Walk
GI9E0,Saint George's Row
FS34X,Wellington Mall
VYS9Q,Grande Boulevard
BIE10,Eagle Ridge Drive
N5W1W,Worth Avenue
