id_centros_entretenimiento,centros_entretenimiento,direccion,id_condado,condado,codigo_postal_condado,latitud_condado,longitud_condado,id_ciudad,ciudad,codigo_postal_ciudad,latitud_ciudad,longitud_ciudad,estado,categorias,puntuacion_usuarios,analisis_sentimientos,url_del_negocio,anio,categoria_general,atributo,categoria,ranquing_por_usuario,url
A961H,Channelside Cinemas Imax,601 Channelside Dr,W0hC,Hillsborough,"33602, 33647, 33511",27.9903597,-82.3017728,RGTW,Tampa,"33602, 33611, 33647",27.9516896,-82.4587527,Florida,"Arts & Entertainment, Cinema",2.5,positivo,,2010,Entretenimiento,,,,
O8MUN,Cinema 6,9510 US Hwy 19,S9aR,Pasco,"34637, 34652, 34668",28.3232418,-82.4319405,9LT4,Port Richey,34668,28.2716755,-82.7195451,Florida,"Arts & Entertainment, Cinema",3.5,positivo,,2010,Entretenimiento,,,,
IHWSR,CinéBistro at Grove 16,6333 Wesley Grove Blvd,j5qg,Pasco,"34637, 34652, 34668",28.3232418,-82.4319405,CQ72,Wesley Chapel,"33543, 33544",28.240527,-82.3272551,Florida,"Arts & Entertainment, American (Traditional), Cinema, Cafes, Nightlife, Dinner Theater, Lounges, Restaurants, Bars",3.5,negativo,,2010,Entretenimiento,,,,
V2TTD,Clearwater Marine Aquarium,249 Windward Passage,UAIE,Pinellas,"33701, 33756, 33781",27.876394,-82.7778579,MCCU,Clearwater,"33755, 33756, 33759",27.9655722,-82.7958948,Florida,"Local Services, Aquariums, Active Life, Summer Camps, Hotels & Travel, Parks, Community Service/Non-Profit, Boat Tours, Tours",3,positivo,,2010,Entretenimiento,,,,
16OIT,Dinosaur World,5145 Harvey Tew Rd,Rbq6,Hillsborough,"33602, 33647, 33511",27.9903597,-82.3017728,7QXG,Plant City,"33563, 33566",28.0186323,-82.1128641,Florida,"Museums, Arts & Entertainment, Amusement Parks, Active Life",4,positivo,,2010,Entretenimiento,,,,
07WWW,Fun Lan Drive In Theatre,2302 E Hillsborough Ave,W0hC,Hillsborough,"33602, 33647, 33511",27.9903597,-82.3017728,RGTW,Tampa,"33602, 33611, 33647",27.9516896,-82.4587527,Florida,"Flea Markets, Cinema, Arts & Entertainment, Shopping",3.5,positivo,,2010,Entretenimiento,,,,
7W86V,GameTime,1600 E 8th Ave,W0hC,Hillsborough,"33602, 33647, 33511",27.9903597,-82.3017728,RGTW,Tampa,"33602, 33611, 33647",27.9516896,-82.4587527,Florida,"Event Planning & Services, Sports Bars, Arts & Entertainment, Venues & Event Spaces, Books, Mags, Music & Video, Amusement Parks, American (Traditional), Shopping, Restaurants, Videos & Video Game Rental, Active Life, Bars, Arcades, Nightlife",3,positivo,,2010,Entretenimiento,,,,
C399L,Great Explorations Children's Museum,1925 4th St N,vV1W,Pinellas,"33701, 33756, 33781",27.876394,-82.7778579,KOLOGC,Saint Petersburg,33701,27.7671271,-82.6384451,Florida,"Museums, Arts & Entertainment, Children's Museums",3.5,positivo,,2010,Entretenimiento,,,,
XM2CL,HR Trains & Toys,7900 49th St N,1U8v,Pinellas,"33701, 33756, 33781",27.876394,-82.7778579,SJ01,Pinellas Park,33781,27.8428025,-82.6995443,Florida,"Toy Stores, Arts & Entertainment, Shopping, Museums, Hobby Shops",4,positivo,,2010,Entretenimiento,,,,
TK92R,Henry B. Plant Museum,401 W Kennedy Blvd,W0hC,Hillsborough,"33602, 33647, 33511",27.9903597,-82.3017728,RGTW,Tampa,"33602, 33611, 33647",27.9516896,-82.4587527,Florida,"Arts & Entertainment, Museums",4,positivo,,2010,Entretenimiento,,,,
BWB64,Howl-O-Scream,3000 E Busch Blvd,W0hC,Hillsborough,"33602, 33647, 33511",27.9903597,-82.3017728,RGTW,Tampa,"33602, 33611, 33647",27.9516896,-82.4587527,Florida,"Local Flavor, Performing Arts, Active Life, Amusement Parks, Haunted Houses, Arts & Entertainment",3.5,positivo,,2010,Entretenimiento,,,,
MDE0H,MOSI,4801 E Fowler Ave,W0hC,Hillsborough,"33602, 33647, 33511",27.9903597,-82.3017728,RGTW,Tampa,"33602, 33611, 33647",27.9516896,-82.4587527,Florida,"Arts & Entertainment, Tours, Cinema, Hotels & Travel, Museums",3,positivo,,2010,Entretenimiento,,,,
W09V2,Manatee Viewing Center,6990 Dickman Rd,dDzA,Hillsborough,"33602, 33647, 33511",27.9903597,-82.3017728,20PF,Apollo Beach,33572,27.7730836,-82.4075935,Florida,"Zoos, Active Life",4.5,positivo,,2010,Entretenimiento,,,,
U0VML,Museum of Fine Arts,255 Beach Dr NE,vV1W,Pinellas,"33701, 33756, 33781",27.876394,-82.7778579,KOLOGC,Saint Petersburg,33701,27.7671271,-82.6384451,Florida,"Art Museums, Arts & Entertainment, Museums, Restaurants",4,positivo,,2010,Entretenimiento,,,,
YDNJ0,Chihuly Collection,720 Central Ave,vV1W,Pinellas,"33701, 33756, 33781",27.876394,-82.7778579,KOLOGC,Saint Petersburg,33701,27.7671271,-82.6384451,Florida,"Art Galleries, Arts & Entertainment, Shopping, Museums",4,positivo,,2010,Entretenimiento,,,,
ASKIL,Tarpon Springs Aquarium and Animal Sanctuary,1722 N Pinellas Ave,Nq9L,Pinellas,"33701, 33756, 33781",27.876394,-82.7778579,3IGC,Tarpon Springs,"34688, 34689",28.1461248,-82.7567679,Florida,"Tours, Hotels & Travel, Active Life, Zoos, Aquariums, Amusement Parks",3.5,positivo,,2010,Entretenimiento,,,,
2V69L,Tampa Theatre,711 N Franklin St,W0hC,Hillsborough,"33602, 33647, 33511",27.9903597,-82.3017728,RGTW,Tampa,"33602, 33611, 33647",27.9516896,-82.4587527,Florida,"Arts & Entertainment, Cinema, Music Venues, Nightlife, Venues & Event Spaces, Event Planning & Services",4.5,positivo,,2010,Entretenimiento,,,,
NONBT,Adventure Island,10001 N McKinley Dr,W0hC,Hillsborough,"33602, 33647, 33511",27.9903597,-82.3017728,RGTW,Tampa,"33602, 33611, 33647",27.9516896,-82.4587527,Florida,"Amusement Parks, Active Life, Water Parks",3,positivo,,2010,Entretenimiento,,,,
R69E6,Pin Chasers,4847 N Armenia Ave,W0hC,Hillsborough,"33602, 33647, 33511",27.9903597,-82.3017728,RGTW,Tampa,"33602, 33611, 33647",27.9516896,-82.4587527,Florida,"Amusement Parks, Active Life, Venues & Event Spaces, Event Planning & Services, Nightlife, Bowling, Bars, Leisure Centers, Recreation Centers, Sports Bars",4,positivo,,2010,Entretenimiento,,,,
5Z38H,The Dali Museum,1 Dali Blvd,vV1W,Pinellas,"33701, 33756, 33781",27.876394,-82.7778579,KOLOGC,Saint Petersburg,33701,27.7671271,-82.6384451,Florida,"Museums, Arts & Entertainment, Art Museums, Shopping, Art Galleries",4.5,positivo,,2010,Entretenimiento,,,,
2M0XU,AMC Classic Centro Ybor 10,1600 E 8th Ave,W0hC,Hillsborough,"33602, 33647, 33511",27.9903597,-82.3017728,RGTW,Tampa,"33602, 33611, 33647",27.9516896,-82.4587527,Florida,"Cinema, Arts & Entertainment",3.5,positivo,,2010,Entretenimiento,,,,
GOKPD,AMC Classic Palm Harbor 10,37912 Us Highway 19 N,Zhuo,Pinellas,"33701, 33756, 33781",27.876394,-82.7778579,IKXB,Palm Harbor,"34683, 34684",28.0780718,-82.7637127,Florida,"Cinema, Dinner Theater, Arts & Entertainment, Restaurants",3,negativo,,2010,Entretenimiento,,,,
Z17IH,AMC Highwoods 20,18002 Highwoods Preserve Parkway,W0hC,Hillsborough,"33602, 33647, 33511",27.9903597,-82.3017728,RGTW,Tampa,"33602, 33611, 33647",27.9516896,-82.4587527,Florida,"Cinema, Arts & Entertainment",3,positivo,,2010,Entretenimiento,,,,
S631W,AMC Sundial 12,151 2nd Ave North,vV1W,Pinellas,"33701, 33756, 33781",27.876394,-82.7778579,KOLOGC,Saint Petersburg,33701,27.7671271,-82.6384451,Florida,"Cinema, Arts & Entertainment",3.5,positivo,,2010,Entretenimiento,,,,
S776Y,AMC The Regency 20,2496 W. Brandon Blvd,uHNL,Hillsborough,"33602, 33647, 33511",27.9903597,-82.3017728,W2W7,Brandon,"33510, 33511",27.937801,-82.2859247,Florida,"Cinema, Arts & Entertainment",2.5,positivo,,2010,Entretenimiento,,,,
FY1DD,Seaside Seabird Sanctuary,18328 Gulf Blvd,llVN,Pinellas,"33701, 33756, 33781",27.876394,-82.7778579,03vv,Indian Shores,33785,27.862801,-82.8484373,Florida,"Pet Stores, Community Service/Non-Profit, Parks, Pets, Zoos, Animal Shelters, Active Life, Local Services",4.5,positivo,,2010,Entretenimiento,,,,
5G2RF,AMC Veterans 24,9302 Anderson Rd,W0hC,Hillsborough,"33602, 33647, 33511",27.9903597,-82.3017728,RGTW,Tampa,"33602, 33611, 33647",27.9516896,-82.4587527,Florida,"Arts & Entertainment, Cinema",3.5,positivo,,2010,Entretenimiento,,,,
9RSFG,AMC Woodlands Square 20,3128 Tampa Road,WAVo,Pinellas,"33701, 33756, 33781",27.876394,-82.7778579,96OP,Oldsmar,34677,28.0341847,-82.6650992,Florida,"Arts & Entertainment, Cinema",3.5,positivo,,2010,Entretenimiento,,,,
CR7HY,ZooTampa at Lowry Park,1101 W Sligh Ave,W0hC,Hillsborough,"33602, 33647, 33511",27.9903597,-82.3017728,RGTW,Tampa,"33602, 33611, 33647",27.9516896,-82.4587527,Florida,"Zoos, Tours, Arts & Entertainment, Hotels & Travel, Active Life",4,positivo,,2010,Entretenimiento,,,,
5XWRA,X-Treme Fun Center,13211 93rd St N,e3jL,Pinellas,"33701, 33756, 33781",27.876394,-82.7778579,LIFE,Largo,"33770, 33771",27.9094665,-82.7873244,Florida,"Active Life, Amusement Parks, Arts & Entertainment, Party & Event Planning, Arcades, Event Planning & Services, Laser Tag, Batting Cages",3.5,positivo,,2010,Entretenimiento,,,,
FEUC6,Treasure Island Fun Center,7770 Seminole Blvd,FZkQ,Pinellas,"33701, 33756, 33781",27.876394,-82.7778579,8ZKX,Seminole,33772,27.8397466,-82.7912134,Florida,"Pizza, Arcades, Active Life, Arts & Entertainment, Event Planning & Services, Amusement Parks, Party & Event Planning, Restaurants",4,positivo,,2010,Entretenimiento,,,,
NVGJC,Touchstar Cinemas - Seminole 8,7990 Liberty Ln,FZkQ,Pinellas,"33701, 33756, 33781",27.876394,-82.7778579,8ZKX,Seminole,33772,27.8397466,-82.7912134,Florida,"Arts & Entertainment, Cinema",3.5,negativo,,2010,Entretenimiento,,,,
A51C5,The Pier Aquarium,800 2nd Ave NE,L0b3,Pinellas,"33701, 33756, 33781",27.876394,-82.7778579,p9Ny,St. Petersburg,33701,27.7671271,-82.6384451,Florida,"Arts & Entertainment, Active Life, Hotels & Travel, Aquariums, Museums, Tours",3,positivo,,2010,Entretenimiento,,,,
T15ZM,The Florida Holocaust Museum,55 5th St S,vV1W,Pinellas,"33701, 33756, 33781",27.876394,-82.7778579,KOLOGC,Saint Petersburg,33701,27.7671271,-82.6384451,Florida,"Museums, Arts & Entertainment",4,negativo,,2010,Entretenimiento,,,,
UXZRZ,The Florida Aquarium,701 Channelside Dr,W0hC,Hillsborough,"33602, 33647, 33511",27.9903597,-82.3017728,RGTW,Tampa,"33602, 33611, 33647",27.9516896,-82.4587527,Florida,"Active Life, Day Camps, Aquariums, Venues & Event Spaces, Event Planning & Services, Arts & Entertainment, Education, Wedding Planning, Local Services, Botanical Gardens, Elementary Schools, Community Service/Non-Profit",3.5,positivo,,2010,Entretenimiento,,,,
U0R0L,AMC West Shore 14,210 Westshore Plaza,W0hC,Hillsborough,"33602, 33647, 33511",27.9903597,-82.3017728,RGTW,Tampa,"33602, 33611, 33647",27.9516896,-82.4587527,Florida,"Arts & Entertainment, Cinema",3,positivo,,2010,Entretenimiento,,,,
EOVY3,Regal Citrus Park,7999 Citrus Town Center Park Mall,W0hC,Hillsborough,"33602, 33647, 33511",27.9903597,-82.3017728,RGTW,Tampa,"33602, 33611, 33647",27.9516896,-82.4587527,Florida,"Cinema, Arts & Entertainment",2.5,positivo,,2010,Entretenimiento,,,,
OBPVW,Armed Forces History Museum,2050 34th Way N,e3jL,Pinellas,"33701, 33756, 33781",27.876394,-82.7778579,LIFE,Largo,"33770, 33771",27.9094665,-82.7873244,Florida,"Museums, Arts & Entertainment",4.5,positivo,,2011,Entretenimiento,,,,
E2F84,American Victory Ship & Museum,705 Channelside Dr,W0hC,Hillsborough,"33602, 33647, 33511",27.9903597,-82.3017728,RGTW,Tampa,"33602, 33611, 33647",27.9516896,-82.4587527,Florida,"Historical Tours, Tours, Hotels & Travel, Arts & Entertainment, Museums",4.5,positivo,,2011,Entretenimiento,,,,
9RSFG,AMC Woodlands Square 20,3128 Tampa Road,WAVo,Pinellas,"33701, 33756, 33781",27.876394,-82.7778579,96OP,Oldsmar,34677,28.0341847,-82.6650992,Florida,"Arts & Entertainment, Cinema",3.5,positivo,,2011,Entretenimiento,,,,
5G2RF,AMC Veterans 24,9302 Anderson Rd,W0hC,Hillsborough,"33602, 33647, 33511",27.9903597,-82.3017728,RGTW,Tampa,"33602, 33611, 33647",27.9516896,-82.4587527,Florida,"Arts & Entertainment, Cinema",3.5,positivo,,2011,Entretenimiento,,,,
IDXH2,AMC Tri-City 8,5140 E Bay Dr,e3jL,Pinellas,"33701, 33756, 33781",27.876394,-82.7778579,LIFE,Largo,"33770, 33771",27.9094665,-82.7873244,Florida,"Arts & Entertainment, Cinema",3,negativo,,2011,Entretenimiento,,,,
S776Y,AMC The Regency 20,2496 W. Brandon Blvd,uHNL,Hillsborough,"33602, 33647, 33511",27.9903597,-82.3017728,W2W7,Brandon,"33510, 33511",27.937801,-82.2859247,Florida,"Cinema, Arts & Entertainment",2.5,positivo,,2011,Entretenimiento,,,,
S631W,AMC Sundial 12,151 2nd Ave North,vV1W,Pinellas,"33701, 33756, 33781",27.876394,-82.7778579,KOLOGC,Saint Petersburg,33701,27.7671271,-82.6384451,Florida,"Cinema, Arts & Entertainment",3.5,positivo,,2011,Entretenimiento,,,,
CR7HY,ZooTampa at Lowry Park,1101 W Sligh Ave,W0hC,Hillsborough,"33602, 33647, 33511",27.9903597,-82.3017728,RGTW,Tampa,"33602, 33611, 33647",27.9516896,-82.4587527,Florida,"Zoos, Tours, Arts & Entertainment, Hotels & Travel, Active Life",4,positivo,,2011,Entretenimiento,,,,
Z17IH,AMC Highwoods 20,18002 Highwoods Preserve Parkway,W0hC,Hillsborough,"33602, 33647, 33511",27.9903597,-82.3017728,RGTW,Tampa,"33602, 33611, 33647",27.9516896,-82.4587527,Florida,"Cinema, Arts & Entertainment",3,positivo,,2011,Entretenimiento,,,,
7E20U,Pet City,2119 Collier Pkwy,OcUC,Pasco,"34637, 34652, 34668",28.3232418,-82.4319405,gRLr,Land O' Lakes,34639,28.2188992,-82.4575938,Florida,"Pets, Aquariums, Pet Stores, Active Life",3,positivo,,2011,Entretenimiento,,,,
2M0XU,AMC Classic Centro Ybor 10,1600 E 8th Ave,W0hC,Hillsborough,"33602, 33647, 33511",27.9903597,-82.3017728,RGTW,Tampa,"33602, 33611, 33647",27.9516896,-82.4587527,Florida,"Cinema, Arts & Entertainment",3.5,positivo,,2011,Entretenimiento,,,,
NONBT,Adventure Island,10001 N McKinley Dr,W0hC,Hillsborough,"33602, 33647, 33511",27.9903597,-82.3017728,RGTW,Tampa,"33602, 33611, 33647",27.9516896,-82.4587527,Florida,"Amusement Parks, Active Life, Water Parks",3,positivo,,2011,Entretenimiento,,,,
U0R0L,AMC West Shore 14,210 Westshore Plaza,W0hC,Hillsborough,"33602, 33647, 33511",27.9903597,-82.3017728,RGTW,Tampa,"33602, 33611, 33647",27.9516896,-82.4587527,Florida,"Arts & Entertainment, Cinema",3,positivo,,2011,Entretenimiento,,,,
GOKPD,AMC Classic Palm Harbor 10,37912 Us Highway 19 N,Zhuo,Pinellas,"33701, 33756, 33781",27.876394,-82.7778579,IKXB,Palm Harbor,"34683, 34684",28.0780718,-82.7637127,Florida,"Cinema, Dinner Theater, Arts & Entertainment, Restaurants",3,negativo,,2011,Entretenimiento,,,,
EOVY3,Regal Citrus Park,7999 Citrus Town Center Park Mall,W0hC,Hillsborough,"33602, 33647, 33511",27.9903597,-82.3017728,RGTW,Tampa,"33602, 33611, 33647",27.9516896,-82.4587527,Florida,"Cinema, Arts & Entertainment",2.5,positivo,,2011,Entretenimiento,,,,
VTO3X,Busch Gardens Tampa Bay,10165 N McKinley Dr,W0hC,Hillsborough,"33602, 33647, 33511",27.9903597,-82.3017728,RGTW,Tampa,"33602, 33611, 33647",27.9516896,-82.4587527,Florida,"Active Life, Amusement Parks, Botanical Gardens, Arts & Entertainment",3.5,positivo,,2011,Entretenimiento,,,,
ZQW0U,CMX CinéBistro Hyde Park,1609 W Swann Ave,W0hC,Hillsborough,"33602, 33647, 33511",27.9903597,-82.3017728,RGTW,Tampa,"33602, 33611, 33647",27.9516896,-82.4587527,Florida,"Bars, Restaurants, Lounges, Nightlife, Cinema, Arts & Entertainment, American (New)",4,positivo,,2011,Entretenimiento,,,,
XBL09,Celebration Station,24546 US Hwy 19 N,UAIE,Pinellas,"33701, 33756, 33781",27.876394,-82.7778579,MCCU,Clearwater,"33755, 33756, 33759",27.9655722,-82.7958948,Florida,"Amusement Parks, Mini Golf, Active Life, Arts & Entertainment, Go Karts, Arcades",2.5,negativo,,2011,Entretenimiento,,,,
A961H,Channelside Cinemas Imax,601 Channelside Dr,W0hC,Hillsborough,"33602, 33647, 33511",27.9903597,-82.3017728,RGTW,Tampa,"33602, 33611, 33647",27.9516896,-82.4587527,Florida,"Arts & Entertainment, Cinema",2.5,positivo,,2011,Entretenimiento,,,,
54JQ6,Cheetah Hunt,10165 N McKinley Dr,W0hC,Hillsborough,"33602, 33647, 33511",27.9903597,-82.3017728,RGTW,Tampa,"33602, 33611, 33647",27.9516896,-82.4587527,Florida,"Active Life, Amusement Parks",4.5,positivo,,2011,Entretenimiento,,,,
YDNJ0,Chihuly Collection,720 Central Ave,vV1W,Pinellas,"33701, 33756, 33781",27.876394,-82.7778579,KOLOGC,Saint Petersburg,33701,27.7671271,-82.6384451,Florida,"Art Galleries, Arts & Entertainment, Shopping, Museums",4,positivo,,2011,Entretenimiento,,,,
IHWSR,CinéBistro at Grove 16,6333 Wesley Grove Blvd,j5qg,Pasco,"34637, 34652, 34668",28.3232418,-82.4319405,CQ72,Wesley Chapel,"33543, 33544",28.240527,-82.3272551,Florida,"Arts & Entertainment, American (Traditional), Cinema, Cafes, Nightlife, Dinner Theater, Lounges, Restaurants, Bars",3.5,negativo,,2011,Entretenimiento,,,,
V2TTD,Clearwater Marine Aquarium,249 Windward Passage,UAIE,Pinellas,"33701, 33756, 33781",27.876394,-82.7778579,MCCU,Clearwater,"33755, 33756, 33759",27.9655722,-82.7958948,Florida,"Local Services, Aquariums, Active Life, Summer Camps, Hotels & Travel, Parks, Community Service/Non-Profit, Boat Tours, Tours",3,positivo,,2011,Entretenimiento,,,,
4MY5D,Coral Reef Aquariums,8416-A N Armenia Ave,W0hC,Hillsborough,"33602, 33647, 33511",27.9903597,-82.3017728,RGTW,Tampa,"33602, 33611, 33647",27.9516896,-82.4587527,Florida,"Aquarium Services, Pet Services, Pets, Pet Stores, Active Life, Aquariums",5,positivo,,2011,Entretenimiento,,,,
UUNP8,Creative Aquariums Of Tampa,150 S Dale Mabry Hwy,W0hC,Hillsborough,"33602, 33647, 33511",27.9903597,-82.3017728,RGTW,Tampa,"33602, 33611, 33647",27.9516896,-82.4587527,Florida,"Aquarium Services, Pet Services, Pets, Pet Stores, Shopping",4.5,positivo,,2011,Entretenimiento,,,,
16OIT,Dinosaur World,5145 Harvey Tew Rd,Rbq6,Hillsborough,"33602, 33647, 33511",27.9903597,-82.3017728,7QXG,Plant City,"33563, 33566",28.0186323,-82.1128641,Florida,"Museums, Arts & Entertainment, Amusement Parks, Active Life",4,positivo,,2011,Entretenimiento,,,,
EA0ZN,Dunedin Fine Art Center,1143 Michigan Blvd,AE6H,Pinellas,"33701, 33756, 33781",27.876394,-82.7778579,L2T6,Dunedin,34698,28.0197404,-82.7717684,Florida,"Education, Shopping, Art Classes, Art Schools, Museums, Specialty Schools, Art Galleries, Arts & Entertainment",4.5,positivo,,2011,Entretenimiento,,,,
2Z6UK,Florida Museum of Photographic Arts,400 N Ashley Dr,W0hC,Hillsborough,"33602, 33647, 33511",27.9903597,-82.3017728,RGTW,Tampa,"33602, 33611, 33647",27.9516896,-82.4587527,Florida,"Art Museums, Photography Classes, Museums, Specialty Schools, Education, Arts & Entertainment, Art Galleries, Event Planning & Services, Venues & Event Spaces, Shopping",3.5,positivo,,2011,Entretenimiento,,,,
3OH49,PetSmart,2625 Gulf To Bay,UAIE,Pinellas,"33701, 33756, 33781",27.876394,-82.7778579,MCCU,Clearwater,"33755, 33756, 33759",27.9655722,-82.7958948,Florida,"Active Life, Pets, Aquariums, Pet Stores, Pet Training, Pet Services, Pet Groomers",2.5,positivo,,2011,Entretenimiento,,,,
07WWW,Fun Lan Drive In Theatre,2302 E Hillsborough Ave,W0hC,Hillsborough,"33602, 33647, 33511",27.9903597,-82.3017728,RGTW,Tampa,"33602, 33611, 33647",27.9516896,-82.4587527,Florida,"Flea Markets, Cinema, Arts & Entertainment, Shopping",3.5,positivo,,2011,Entretenimiento,,,,
24ZHU,Glazer Children's Museum,110 W Gasparilla Plz,W0hC,Hillsborough,"33602, 33647, 33511",27.9903597,-82.3017728,RGTW,Tampa,"33602, 33611, 33647",27.9516896,-82.4587527,Florida,"Toy Stores, Shopping, Arts & Entertainment, Museums, Local Flavor, Children's Museums",4,positivo,,2011,Entretenimiento,,,,
C399L,Great Explorations Children's Museum,1925 4th St N,vV1W,Pinellas,"33701, 33756, 33781",27.876394,-82.7778579,KOLOGC,Saint Petersburg,33701,27.7671271,-82.6384451,Florida,"Museums, Arts & Entertainment, Children's Museums",3.5,positivo,,2011,Entretenimiento,,,,
XM2CL,HR Trains & Toys,7900 49th St N,1U8v,Pinellas,"33701, 33756, 33781",27.876394,-82.7778579,SJ01,Pinellas Park,33781,27.8428025,-82.6995443,Florida,"Toy Stores, Arts & Entertainment, Shopping, Museums, Hobby Shops",4,positivo,,2011,Entretenimiento,,,,
TK92R,Henry B. Plant Museum,401 W Kennedy Blvd,W0hC,Hillsborough,"33602, 33647, 33511",27.9903597,-82.3017728,RGTW,Tampa,"33602, 33611, 33647",27.9516896,-82.4587527,Florida,"Arts & Entertainment, Museums",4,positivo,,2011,Entretenimiento,,,,
