id_condado,condado,codigo_postal_condado,latitud_condado,longitud_condado,id_ciudad,ciudad,codigo_postal_ciudad,latitud_ciudad,longitud_ciudad
Psq8,Collier,"34102, 34112, 34120",26.069985,-81.4278984,IWpr,Ave Maria,34142,26.3368127,-81.4379851
yWvB,Miami-Dade,"33125, 33177, 33010",25.5516034,-80.6326916,38v9,Aventura,"33180, 33160",25.9564812,-80.1392121
01NG,Highlands,"33825, 33852, 33870",27.3688418,-81.2518833,17WO,Avon Park,33825,27.5958672,-81.5061862
qmCj,Polk,"33801, 33813, 33880",27.8617347,-81.6911559,TSKI,Babson Park,33827,27.8319708,-81.5222974
SI0p,Santa Rosa,"32533, 32561, 32570",30.7689907,-86.9824288,jZRB,Bagdad,32583,30.5988048,-87.0310767
F8BX,Palm Beach,"33401, 33411, 33480",26.6514503,-80.2767327,b0f3,Bainbridge,33414,26.6712734,-80.2472936
yWj0,Polk,"33801, 33813, 33880",27.8617347,-81.6911559,2SGU,Baird,33834,27.6875325,-81.9559184
rK5s,Okaloosa,"32536, 32547, 32578",30.5773401,-86.6611083,1YJ4,Baker,32531,30.7971318,-86.681344
F4Ou,Miami-Dade,"33125, 33177, 33010",25.5516034,-80.6326916,75bG,Bal Harbour,33154,25.8917613,-80.1269896
XCgl,Duval,"32202, 32210, 32246",30.3500511,-81.6035062,jZIL,Baldwin,32234,30.3027384,-81.9753865
Ao7b,Volusia,"32114, 32127, 32725",29.0279842,-81.0754657,D8Nu,Barberville,32130,29.1872023,-81.420901
O2bm,Polk,"33801, 33813, 33880",27.8617347,-81.6911559,J1PS,Bartow,33830,27.8964147,-81.8431374
5dYD,Jackson,"32446, 32448",30.7150882,-85.1894045,KTEP,Bascom,32423,30.927965,-85.1185405
Qa5D,Okeechobee,"34972, 34974",27.3462015,-80.8986502,x3rj,Basinger,34972,27.4003186,-81.0164537
oG4M,Miami-Dade,"33125, 33177, 33010",25.5516034,-80.6326916,TyYt,Bay Harbor Islands,33154,25.8875948,-80.1311564
X3NK,Monroe,"33036, 33040, 33050",25.2974483,-81.0754657,nmvV,Bay Point,33040,24.6268111,-81.5923088
GPEx,Hernando,"34601, 34608, 34609",28.5578826,-82.4752757,RBoF,Bayport,34607,28.5503223,-82.6449244
9PrF,Pasco,"34637, 34652, 34668",28.3232418,-82.4319405,egJI,Beacon Square,34652,28.2086225,-82.7553791
l8zx,Gilchrist,"32619, 32693",29.6871128,-82.820974,YVTB,Bell,32619,29.7555125,-82.8626239
moWH,Palm Beach,"33401, 33411, 33480",26.6514503,-80.2767327,SL6B,Belle Glade,33430,26.6845104,-80.6675577
MWig,Pinellas,"33701, 33756, 33781",27.876394,-82.7778579,ycVZ,Belleair,33756,27.9358543,-82.8062139
7L7B,Pinellas,"33701, 33756, 33781",27.876394,-82.7778579,FYL5,Belleair Beach,33786,27.9230767,-82.8431594
XjD8,Pinellas,"33701, 33756, 33781",27.876394,-82.7778579,80Wt,Belleair Bluffs,33770,27.9214103,-82.8170475
wSde,Pinellas,"33701, 33756, 33781",27.876394,-82.7778579,JlUE,Belleair Shore,33786,27.9165372,-82.8492538
MvJf,Marion,"34470, 34481, 34488",29.2787765,-82.12784,SNXV,Belleview,34420,29.0552578,-82.0623105
0Hbh,Escambia,"32501, 32506, 32514",30.6389408,-87.3413599,XAzD,Bellview,32526,30.4615858,-87.3149742
ZIf3,Santa Rosa,"32533, 32561, 32570",30.7689907,-86.9824288,kCL9,Berrydale,32570,30.899167,-87.013889
vNkd,Volusia,"32114, 32127, 32725",29.0279842,-81.0754657,TMKo,Bethune Beach,32169,28.9491539,-80.83783
CVNy,Escambia,"32501, 32506, 32514",30.6389408,-87.3413599,LB02,Beulah,32526,30.5343617,-87.4016446
mKI9,Flagler,"32110, 32136, 32164",29.4086072,-81.2518833,t99S,Beverly Beach,32136,29.5146969,-81.1445045
shh9,Citrus,"34429, 34448, 34465",28.8848842,-82.5185837,wrU8,Beverly Hills,34465,28.9169245,-82.4581536
lc8E,Monroe,"33036, 33040, 33050",25.2974483,-81.0754657,0Slx,Big Coppitt Key,33040,24.5965342,-81.6600883
oq45,Monroe,"33036, 33040, 33050",25.2974483,-81.0754657,0HB0,Big Pine Key,33043,24.6698652,-81.353969
4RRR,Flagler,"32110, 32136, 32164",29.4086072,-81.2518833,nEQ9,Bimini,32110,29.4824739,-81.3556233
dAGO,Orange,"32801, 32839, 32789",28.4844995,-81.2518833,duRS,Bithlo,32833,28.5547225,-81.106452
3g8d,Citrus,"34429, 34448, 34465",28.8848842,-82.5185837,j5Bs,Black Diamond,34461,28.9124798,-82.4859321
vAFC,Lake,"32757, 32778, 34748",28.702847,-81.7787021,Nipo,Black Jack Island,34714,28.3925065,-81.7600765
fNA1,Leon,"32301, 32308, 32312",30.4906177,-84.1857115,ZUYD,Blocker,32312,30.58742,-84.273512
KXCA,Calhoun,"32421, 32424",30.3475302,-85.1894045,0U7T,Blountstown,32424,30.4435293,-85.0451953
w4JD,Palm Beach,"33401, 33411, 33480",26.6514503,-80.2767327,W3TN,Boca Del Mar,33433,26.345078,-80.1467115
Nkpw,Lee,"33901, 33908, 33919",26.6630286,-81.9534815,m3gM,Boca Grande,33921,26.7490152,-82.2616717
rz1N,Palm Beach,"33401, 33411, 33480",26.6514503,-80.2767327,1XmV,Boca Pointe,33433,26.3331341,-80.1594897
TlCr,Palm Beach,"33401, 33411, 33480",26.6514503,-80.2767327,WDMXZM,Boca Raton,"33431, 33432, 33433",26.3683064,-80.1289321
dIGO,Lee,"33901, 33908, 33919",26.6630286,-81.9534815,S7M0,Bokeelia,33922,26.7056266,-82.1589815
hRL1,Holmes,"32425, 32427",30.8740806,-85.80766,L3V4,Bonifay,32425,30.7881014,-85.6798074
MaLJ,Lee,"33901, 33908, 33919",26.6630286,-81.9534815,MTML,Bonita Springs,"34134, 34135",26.339806,-81.7786972
k4TW,Putnam,"32177, 32148, 32131",29.6265157,-81.7787021,lRah,Bostwick,32177,29.774134,-81.637029
yZGH,Nassau,"32034, 32046",30.5927334,-81.8224362,MxIo,Boulogne,32046,30.7716226,-81.9759471
nu8N,Hardee,"33873, 33890",27.4501733,-81.8224362,M426,Bowling Green,33834,27.6383673,-81.8239717
fL1f,Palm Beach,"33401, 33411, 33480",26.6514503,-80.2767327,URYD,Boynton Beach,"33426, 33436, 33435",26.5317866,-80.0905465
mze2,Manatee,"34205, 34221, 34211",27.4799195,-82.345189,CQN2,Bradenton,"34205, 34208",27.4989278,-82.5748194
cTjL,Manatee,"34205, 34221, 34211",27.4799195,-82.345189,MX4F,Bradenton Beach,34217,27.4682549,-82.6993631
bUFw,Leon,"32301, 32308, 32312",30.4906177,-84.1857115,Zowm,Bradfordville,32312,30.561111,-84.217778
uHNL,Hillsborough,"33602, 33647, 33511",27.9903597,-82.3017728,W2W7,Brandon,"33510, 33511",27.937801,-82.2859247
u6Uh,Suwannee,"32060, 32064",30.2485096,-82.9931607,TUHC,Branford,32008,29.9591183,-82.9281833
IIPw,Escambia,"32501, 32506, 32514",30.6389408,-87.3413599,NNy6,Brent,36426,30.4688079,-87.2360826
6eEG,Escambia,"32501, 32506, 32514",30.6389408,-87.3413599,rhkb,Brewton,33435,31.1051779,-87.0721918
I3o7,Palm Beach,"33401, 33411, 33480",26.6514503,-80.2767327,dNm2,Briny Breezes,32321,26.5084053,-80.0508748
If25,Liberty,"32321, 32334",30.1507777,-84.8567932,L2KV,Bristol,32621,30.4321407,-84.9757496
E4Id,Levy,"32621, 32696",29.3178545,-82.820974,8YJC,Bronson,32622,29.4477445,-82.6423336
n4dH,Bradford,"32091, 32044",29.9723818,-82.1713632,8VPJ,Brooker,34613,29.8888528,-82.3326095
hJX2,Hernando,"34601, 34608, 34609",28.5578826,-82.4752757,7Ms2,Brookridge,34601,28.551105,-82.4920414
xmN4,Hernando,"34601, 34608, 34609",28.5578826,-82.4752757,JZGB,Brooksville,32425,28.5552719,-82.3878709
2RYL,Walton,"32433, 32459, 32550",30.5640199,-86.1751759,Aqnu,Bruce,32041,30.4724182,-85.9652142
83ck,Nassau,"32034, 32046",30.5927334,-81.8224362,ZBEY,Bryceville,34981,30.3846821,-81.9387195
iGxA,Glades,"33471, 33935",26.984415,-81.0754657,FTKD,Buckhead Ridge,33565,27.1303277,-80.8936735
souo,Lee,"33901, 33908, 33919",26.6630286,-81.9534815,nKk5,Buckingham,33905,26.6750704,-81.7320268
7ZS2,Flagler,"32110, 32136, 32164",29.4086072,-81.2518833,7IG8,Bunnell,32110,29.4660863,-81.2578416
IqCl,Lee,"33901, 33908, 33919",26.6630286,-81.9534815,1YRc,Burnt Store Marina,32624,26.7650681,-82.050923
yuko,Sumter,"33513, 33585, 34785",28.6747526,-82.0842901,V2FO,Bushnell,32043,28.6649924,-82.1128629
WfiV,Brevard,"32901, 32940, 32955",28.263933,-80.7214417,FdoW,Cabo Cañaveral,32409,28.3922182,-80.6077132
TWYk,Nassau,"32034, 32046",30.5927334,-81.8224362,0S0N,Callahan,32507,30.5621807,-81.8306621
mAKF,Bay,"32401, 32405, 32444",30.1805306,-85.684578,sFzi,Callaway,32406,30.1453538,-85.5743227
21AR,St. Lucie,"34952, 34983, 34986",27.3225563,-80.543845,0UL0,Calle principal de Fort Pierce,34945,27.4467056,-80.3256056
hsgZ,Jackson,"32446, 32448",30.7150882,-85.1894045,SPQ1,Campbellton,32426,30.9493516,-85.4021544
CbGo,Palm Beach,"33401, 33411, 33480",26.6514503,-80.2767327,SVTM,Canal Point,33438,26.8592258,-80.6336676
21lQ,Escambia,"32501, 32506, 32514",30.6389408,-87.3413599,5DBD,Cantonment,33418,30.6053644,-87.3446492
Ei0I,Lee,"33901, 33908, 33919",26.6630286,-81.9534815,2ALK,Cape Coral,"33904, 33909, 33914",26.5628537,-81.9495331
4U5F,Gulf,"32456, 32465",29.9342893,-85.2308414,3eiR,Cape San Blas,33924,29.6675478,-85.3524776
RObM,Jefferson,"32344, 32336",30.4311978,-83.8897057,PMwM,Capps,32322,30.410278,-83.911111
nXXi,Lee,"33901, 33908, 33919",26.6630286,-81.9534815,KvGR,Captiva,32427,26.5220227,-82.1892614
Ip6v,Franklin,"32320, 32322",29.7817695,-84.8567932,NWRK,Carrabelle,32130,29.8532645,-84.664348
YLII,Washington,"32428, 32462",30.548737,-85.684578,VDRJ,Caryville,32314,30.7732441,-85.8140997
pwb0,Volusia,"32114, 32127, 32725",29.0279842,-81.0754657,DVGy,Cassadaga,32127,28.9663755,-81.235894
0Qhy,Seminole,"32707, 32746, 32773",28.7131688,-81.2078164,MR5F,Casselberry,32707,28.677775,-81.3278455
1b4t,Collier,"34102, 34112, 34120",26.069985,-81.4278984,bdTQ,Caxambas,32222,25.9109331,-81.6978649
I1ZP,Bay,"32401, 32405, 32444",30.1805306,-85.684578,iXVP,Cedar Grove,32405,30.1710346,-85.6252047
Ebrb,Levy,"32621, 32696",29.3178545,-82.820974,HIQ0,Cedar Key,32024,29.1385785,-83.0351212
LgCT,Osceola,"34741, 34744, 34746",28.1019838,-81.0754657,r5Ob,Celebration,32401,28.3188815,-81.5407793
G6Pz,Sumter,"33513, 33585, 34785",28.6747526,-82.0842901,FEMM,Center Hill,32442,28.6499942,-81.9925814
SZQV,Escambia,"32501, 32506, 32514",30.6389408,-87.3413599,IQHG,Century,32405,30.9732384,-87.2638628
qgIX,Charlotte,"33948, 33952, 33981",26.8946009,-81.909826,dFai,Charlotte Harbor,33980,26.9583937,-82.0670333
RPjp,Citrus,"34429, 34448, 34465",28.8848842,-82.5185837,9Xda,Chassahowitzka,32160,28.7130421,-82.5742656
KAj0,Gadsden,"32324, 32351",30.5562947,-84.6479124,CBU4,Chattahoochee,32147,30.7051916,-84.8429759
QeKE,Levy,"32621, 32696",29.3178545,-82.820974,5Y28,Chiefland,32002,29.4749621,-82.8598421
1ArN,Washington,"32428, 32462",30.548737,-85.684578,CJ47,Chipley,32033,30.7818584,-85.538541
UeK0,Walton,"32433, 32459, 32550",30.5640199,-86.1751759,LAat,Choctaw Beach,32522,30.4713089,-86.3432794
Q3dd,Collier,"34102, 34112, 34120",26.069985,-81.4278984,ukkn,Chokoloskee,32706,25.8128798,-81.3620233
pmyS,Orange,"32801, 32839, 32789",28.4844995,-81.2518833,4KR0,Christmas,32721,28.5363893,-81.0175609
ekXJ,Seminole,"32707, 32746, 32773",28.7131688,-81.2078164,ziQx,Chuluota,32414,28.6418949,-81.1236544
vFcP,Okaloosa,"32536, 32547, 32578",30.5773401,-86.6611083,Rjsg,Cinco Bayou,32012,30.4221437,-86.6093973
KWSo,Marion,"34470, 34481, 34488",29.2787765,-82.12784,32TL,Citra,33434,29.4119166,-82.1098156
UmKr,Citrus,"34429, 34448, 34465",28.8848842,-82.5185837,siMP,Citrus Hills,34442,28.8883146,-82.4325971
H1JF,Citrus,"34429, 34448, 34465",28.8848842,-82.5185837,U27w,Citrus Springs,34434,28.9974771,-82.4706548
c52M,Bay,"32401, 32405, 32444",30.1805306,-85.684578,I67U,Ciudad de Panamá,"32401, 32405",30.1588129,-85.6602058
UAIE,Pinellas,"33701, 33756, 33781",27.876394,-82.7778579,MCCU,Clearwater,"33755, 33756, 33759",27.9655722,-82.7958948
O4uN,Pinellas,"33701, 33756, 33781",27.876394,-82.7778579,EXHF,Clearwater Beach,33767,27.972065,-82.8285877
ATUZ,Lake,"32757, 32778, 34748",28.702847,-81.7787021,SMQT,Clermont,34711,28.5494447,-81.7728543
MYIw,Charlotte,"33948, 33952, 33981",26.8946009,-81.909826,fTIS,Cleveland,33950,26.9584428,-81.9897151
pFO5,Hendry,"33440, 33935",26.6105319,-81.0754657,NP9N,Clewiston,33043,26.7542312,-80.9336753
TmtU,Palm Beach,"33401, 33411, 33480",26.6514503,-80.2767327,1TuO,Cloud Lake,32334,26.6761772,-80.0739308
3QGC,Brevard,"32901, 32940, 32955",28.263933,-80.7214417,URV5,Cocoa,"32922, 32926",28.3861159,-80.7419984
UHHK,Brevard,"32901, 32940, 32955",28.263933,-80.7214417,PPX6,Cocoa Beach,32744,28.3200067,-80.6075513
w6JE,Brevard,"32901, 32940, 32955",28.263933,-80.7214417,0Esk,Cocoa West,32926,28.3600458,-80.7714555
iCne,Broward,"33004, 33301, 33324",26.190096,-80.365865,N6yp,Coconut Creek,"33063, 33066",26.2517482,-80.1789351
mKyX,Jefferson,"32344, 32336",30.4311978,-83.8897057,dzYa,Cody,32306,30.36056,-84.05111
YEjk,Sumter,"33513, 33585, 34785",28.6747526,-82.0842901,oy4s,Coleman,33521,28.7997103,-82.0700856
McBs,Monroe,"33036, 33040, 33050",25.2974483,-81.0754657,KwLL,Conch Key,32012,24.7887493,-80.8878468
sx1R,Broward,"33004, 33301, 33324",26.190096,-80.365865,e7ym,Cooper City,33024,26.0573112,-80.271716
aFk6,Miami-Dade,"33125, 33177, 33010",25.5516034,-80.6326916,uOaA,Coopertown,33450,25.7606563,-80.5608914
Vmx8,Collier,"34102, 34112, 34120",26.069985,-81.4278984,ujHj,Copeland,34137,25.9537075,-81.3559114
hHq8,Miami-Dade,"33125, 33177, 33010",25.5516034,-80.6326916,SliY,Coral Gables,"33134, 33146",25.7491968,-80.2635411
hLQw,Broward,"33004, 33301, 33324",26.190096,-80.365865,EYG3,Coral Springs,"33065, 33067",26.271192,-80.2706044
A7xy,Manatee,"34205, 34221, 34211",27.4799195,-82.345189,M75Z,Cortez,34215,27.4692058,-82.6862105
ayWK,Jackson,"32446, 32448",30.7150882,-85.1894045,8QVF,Cottondale,32431,30.7971363,-85.3765965
PrrT,Monroe,"33036, 33040, 33050",25.2974483,-81.0754657,wKGR,Cow Key,33040,24.5607021,-81.7412014
A8XA,Nassau,"32034, 32046",30.5927334,-81.8224362,AE3R,Crawford,32327,30.5088478,-81.8809412
qpmz,Wakulla,"32327, 32346",30.1301689,-84.3542049,NLZ7,Crawfordville,32327,30.1944839,-84.3711207
GW8K,Volusia,"32114, 32127, 32725",29.0279842,-81.0754657,vgpd,Creighton,32430,28.88722,-80.92222
yzpZ,Putnam,"32177, 32148, 32131",29.6265157,-81.7787021,SVR8,Crescent City,32112,29.4302514,-81.5106288
hMuO,Okaloosa,"32536, 32547, 32578",30.5773401,-86.6611083,ISLE,Crestview,32536,30.7541808,-86.5727995
FE5q,Polk,"33801, 33813, 33880",27.8617347,-81.6911559,soU5,Crooked Lake Park,33859,27.8291935,-81.5839658
7ECU,Dixie,"32628, 32648",29.5207227,-83.1649001,DRAS,Cross City,32628,29.6337184,-83.1232578
Yx51,Alachua,"32601, 32605, 32608",29.6579549,-82.3017728,uz0T,Cross Creek,32640,29.4863595,-82.1650961
egJk,Pinellas,"33701, 33756, 33781",27.876394,-82.7778579,RQRF,Crystal Beach,34681,28.0905039,-82.7792057
vOj8,Polk,"33801, 33813, 33880",27.8617347,-81.6911559,SEng,Crystal Lake,33803,28.0355767,-81.9084148
qeXS,Citrus,"34429, 34448, 34465",28.8848842,-82.5185837,Z9OC,Crystal River,"34428, 34429",28.902479,-82.5926012
Lfd6,Pasco,"34637, 34652, 34668",28.3232418,-82.4319405,vwFp,Crystal Springs,33524,28.1814008,-82.1575843
P0ew,Miami-Dade,"33125, 33177, 33010",25.5516034,-80.6326916,yE6Q,Cutler Bay,33157,25.5808323,-80.3468593
hjhJ,Jackson,"32446, 32448",30.7150882,-85.1894045,8Sbn,Cypress,32432,30.7132484,-85.0738138
lg4F,Polk,"33801, 33813, 33880",27.8617347,-81.6911559,eVrk,Cypress Gardens,33884,27.993911,-81.6900784
ltpQ,Palm Beach,"33401, 33411, 33480",26.6514503,-80.2767327,BW6d,Cypress Lakes,33810,26.7278421,-80.1228211
A3xo,Pasco,"34637, 34652, 34668",28.3232418,-82.4319405,3JZK,Dade City,"33523, 33525",28.3647248,-82.1959178
sTfc,Broward,"33004, 33301, 33324",26.190096,-80.365865,b5ez,Dania Beach,33004,26.052311,-80.1439343
luhc,Marion,"34470, 34481, 34488",29.2787765,-82.12784,lTQc,Danks Corner,33841,29.0110915,-82.119812
h5kf,Polk,"33801, 33813, 33880",27.8617347,-81.6911559,16NT,Davenport,33837,28.1614046,-81.6017417
UezD,Broward,"33004, 33301, 33324",26.190096,-80.365865,SKpC,Davie,"33314, 33324",26.0764783,-80.2521157
X1Wr,Lafayette,"32066, 32094",30.0299573,-83.2077645,0Npk,Day,32013,30.1941908,-83.2913392
Fxcr,Volusia,"32114, 32127, 32725",29.0279842,-81.0754657,CVZR,Daytona Beach,"32114, 32118",29.2108147,-81.0228331
G2ER,Volusia,"32114, 32127, 32725",29.0279842,-81.0754657,p7tv,Daytona Beach Shores,32118,29.1760933,-80.9828323
DLga,Walton,"32433, 32459, 32550",30.5640199,-86.1751759,H3bd,De Funiak Springs,32433,30.7210227,-86.1152184
nrGX,Volusia,"32114, 32127, 32725",29.0279842,-81.0754657,8ell,DeBary,32713,28.8713443,-81.3289397
WVp3,Volusia,"32114, 32127, 32725",29.0279842,-81.0754657,eS3X,DeLand,"32720, 32724",29.028318,-81.3031179
b3Yc,Volusia,"32114, 32127, 32725",29.0279842,-81.0754657,dxfr,DeLeon Springs,32130,29.1194268,-81.3514536
QhFz,Osceola,"34741, 34744, 34746",28.1019838,-81.0754657,3X39,Deer Park,32732,28.091111,-80.898056
f0AR,Broward,"33004, 33301, 33324",26.190096,-80.365865,W3YB,Deerfield Beach,"33441, 33442",26.3184123,-80.0997657
s46P,Palm Beach,"33401, 33411, 33480",26.6514503,-80.2767327,86KY,Delray Beach,"33444, 33445, 33446",26.4614625,-80.0728201
xIYJ,Volusia,"32114, 32127, 32725",29.0279842,-81.0754657,I6EL,Deltona,"32725, 32738",28.9005446,-81.2636738
JTXK,Okaloosa,"32536, 32547, 32578",30.5773401,-86.6611083,IVHP,Destin,32541,30.3935337,-86.4957833
tCyx,DeSoto,"34266, 34269",27.2142078,-81.7787021,my8g,Distrito histórico de Arcadia,34266,27.2158826,-81.8584164
pLce,Lake,"32757, 32778, 34748",28.702847,-81.7787021,y4n6,Dona Vista,32784,28.8947104,-81.6872978
qnX5,Hillsborough,"33602, 33647, 33511",27.9903597,-82.3017728,O1U7,Dover,33527,27.9941885,-82.2195344
D1o0,Suwannee,"32060, 32064",30.2485096,-82.9931607,uZ0A,Dowling Park,32064,30.2435538,-83.2362505
BdvY,Jefferson,"32344, 32336",30.4311978,-83.8897057,WvbU,Drifton,32348,30.495278,-83.879444
JztZ,Manatee,"34205, 34221, 34211",27.4799195,-82.345189,Bnhz,Duette,34219,27.5902519,-82.1230724
rxak,Polk,"33801, 33813, 33880",27.8617347,-81.6911559,PBVP,Dundee,33838,28.0225206,-81.6192432
AE6H,Pinellas,"33701, 33756, 33781",27.876394,-82.7778579,L2T6,Dunedin,34698,28.0197404,-82.7717684
mOR0,Marion,"34470, 34481, 34488",29.2787765,-82.12784,0BN4,Dunnellon,"34431, 34432",29.0491426,-82.4609331
rccp,Flagler,"32110, 32136, 32164",29.4086072,-81.2518833,4KuY,Dupont,32046,29.426667,-81.222778
CEfP,Polk,"33801, 33813, 33880",27.8617347,-81.6911559,J0X6,Eagle Lake,33839,27.9783565,-81.7564687
qzcG,Alachua,"32601, 32605, 32608",29.6579549,-82.3017728,HOF9,Earleton,32631,29.7438556,-82.1034337
bhvZ,Pinellas,"33701, 33756, 33781",27.876394,-82.7778579,ToLT,East Lake,34688,28.1108485,-82.6948221
nYLG,Putnam,"32177, 32148, 32131",29.6265157,-81.7787021,5V9E,East Palatka,32131,29.6583026,-81.5984139
jfIr,Hillsborough,"33602, 33647, 33511",27.9903597,-82.3017728,Qtsk,East Tampa,33619,27.8644695,-82.3800931
vf2m,Marion,"34470, 34481, 34488",29.2787765,-82.12784,FvgF,Eastlake Weir,32133,29.0196105,-81.9105083
hWsu,Franklin,"32320, 32322",29.7817695,-84.8567932,L9TM,Eastpoint,32328,29.7361695,-84.8880506
ugHC,Polk,"33801, 33813, 33880",27.8617347,-81.6911559,J8IA,Eaton Park,33840,28.0086334,-81.9075818
xLjZ,Orange,"32801, 32839, 32789",28.4844995,-81.2518833,XQL0,Eatonville,32751,28.6183364,-81.3858914
KwWz,Washington,"32428, 32462",30.548737,-85.684578,X76W,Ebro,32437,30.4479741,-85.874101
CI6y,St. Lucie,"34952, 34983, 34986",27.3225563,-80.543845,XFnz,Eden,32043,27.2767119,-80.2428257
6Azc,Manatee,"34205, 34221, 34211",27.4799195,-82.345189,tlx3,Edgeville,32091,27.31417,-82.10833
2h1b,Volusia,"32114, 32127, 32725",29.0279842,-81.0754657,C0EC,Edgewater,"32132, 32141",28.9888754,-80.9022758
vSso,Charlotte,"33948, 33952, 33981",26.8946009,-81.909826,mlaw,El Jobean,33953,26.964505,-82.2106476
H1d7,Pasco,"34637, 34652, 34668",28.3232418,-82.4319405,Vmn2,Elfers,34680,28.2166778,-82.7223228
oU90,St. Johns,"32080, 32082, 32084",29.9719419,-81.4278984,SB9H,Elkton,32033,29.7829858,-81.4258833
kXmv,Manatee,"34205, 34221, 34211",27.4799195,-82.345189,UBI8,Ellenton,34222,27.521705,-82.5275963
rITC,Polk,"33801, 33813, 33880",27.8617347,-81.6911559,MWB1,Eloise,33880,27.9947446,-81.7381349
ysNl,Sarasota,"34231, 34236, 34243",27.1995986,-82.345189,RXNR,Englewood,"34223, 34224",26.9620053,-82.3525952
